,Unnamed: 0,premise,text,stance
389,389.0,face masks,"As the virus continues to spread uncontrollably, nearly half the riders in my #metra car today don't have masks. Mandates from the govt and promises from the agency do no good if conductors don't remind riders that masks are required and hand them out as needed.",1
1665,1665.0,fauci,"@IngrahamAngle Fixed it for you: Democrats #WearAMask &amp; are #SociallyDistant.  Republicans who ignore medical experts, like #DrFauci, will spread #COVID19 and potentially harm themselves and others. 

You can't wish #COVID19 away, but you can mitigate the deaths.

#FactsMatter #ScienceMatters",1
823,823.0,face masks,"@yashar Idiots everywhere just falling in line w/the BS mask thing-wearing masks that DO NOT WORK to stop viruses. But hey, at least they make other morons feel better about their choice to fall in line.  This is beginning to look a lot like a religion. :man_facepalming:
WAKE.THE.FUCK.UP.
",2
1362,1362.0,fauci,"Watching today's presser &amp; #DrFauci's slapping down the media over the mitigation issue. 

Let's see how the media interprets &amp; twists his words to try to push their agenda that there's trouble between Trump &amp; Fauci.

#patheticmedia
#COVID19 
#MediaVirus",1
4505,4505.0,school closures,"It’s not ideal, but it solves part of the issue. Teachers would be in their own classrooms, there’s really not an issue of cross contamination like there would be with the hybrid or full return model. Maybe something to think about? #onted #COVID19 ",0
617,617.0,face masks,"The face is the most sensitive, revealing,
uniquely human part of our anatomy

To have to walk around with a diaper
wrapped around our face
as if it were a source of contamination and disease -
could anything be more degrading, humiliating
and offensive to our humanity?

",2
1701,1701.0,fauci,So for fifty years it has been Fauci's job to get us ready for a pandemic - and - now we are supposed to listen to him criticize a President who has been in office for three years for not being prepared? @ANDmagazine #FireFauci,2
303,303.0,face masks,"Watching idiot parents coming to pick their kids up from Camp Covid… Some poor counselor is having to take temperature checks as they drive up, and these stupid parents still aren’t wearing masks! No wonder!",1
163,163.0,face masks,@AuschwitzMuseum @candice_counsel If Anne Frank could live in a secret annex with seven other people for two years. I can wear a mask and maintain social distancing.,1
503,503.0,face masks,"@elidet Happy birthday :clinking_glasses::birthday:
#WearAMask",1
678,678.0,face masks,@SheepDuster #informedconsent is not anti-vax. Keep tags as  #informedconsent because everyone should have the right to full medical info and right to refuse or use any medical product or procedure such as masks and vaccines.,2
1788,1788.0,fauci,"@MarketWatch Please, find this guy a nice retirement home somewhere (not in New York, I’m not vindictive). His advice has been inconsistent and often terrible.",2
1804,1804.0,fauci,@RudyGiuliani Terrible man!!! #FireFauci,2
48,48.0,face masks,@APCentralRegion @AP What a #COVIDIOT. #MaskUpMichigan #maskup,1
1661,1661.0,fauci,"@DanielBen_Del Or someone in Russia.

Americans are united in trusting one person during this #coronavirus crisis and it isn't Trump. Dr. Fauci has been honest about #COVID19 and he's been right so far. Until that changes, I'll continue to trust Dr. Fauci.

#COVID #StayHome",1
312,312.0,face masks,"Overheard on my walk this morning:

Female teenager: DAD, put your mask on! Why do I have to keep telling you?!?! [shakes head]

Dad: [embarrassed ] :mask: 

#COVID19",1
3174,3174.0,stay at home orders,@IngrahamAngle @pnjaban Break the Union there are enough unemployed teachers and business executives to replace them,2
585,585.0,face masks,@RealJamesWoods I don’t and will not wear masks!!,2
294,294.0,face masks,A mask is not a political statement ... it is an IQ Test!,1
664,664.0,face masks,"@GodFamilyJesus Masks :performing_arts: don’t work, so condition or not, it’s all crazy.",2
411,411.0,face masks,"@TheJordanRachel Your running won’t affect my weight. Your mask wearing will affect my health. If you haven’t figured that out, you’re an idiot. If you have figured it out, you’re incredibly selfish. I run to protect my health. I wear a mask to protect others. Get over yourself.",1
2773,2773.0,stay at home orders,"@thegoodgodabove &amp; some AHOLE from #Texas just drove all way to #Montana to start Coughing uncontrollably in next aisle over from me, heard him keep coughing until a Store Manager ASKED HIM TO LEAVE...
i counted 7 different Out-of-State Plates in 3blocks... WTF",1
455,455.0,face masks,"Good morning! Wear a mask when not at home, keep a minimum distance of 6 feet as best you can, and wash your hands frequently throughout the day.",1
2195,2195.0,fauci,"Is it that workers are essential or are they expendable? I forget :thinking_face: 
#COVID19 #TrumpVirus #TrumpFailedAmerica #TrumpIsANationalDisgrace",0
2811,2811.0,stay at home orders,"Let that be a lesson to us “civilised” civilly disobedient twats: when you behave like absolute barbarous hooligans, you get results with government. Just ask SADTU and the Taxi industry. We should learn from them. #cyrilramaphosa #LockdownSA",1
1806,1806.0,fauci,"Bill Gates wants to create the Coronavirus vaccine and make TRILLIONS. But, he wants to FORCE us all to take it? Wonder why his “minions” #DrFauci #DrBirx are down playing #Hydroxychloroquine? It costs .10 cents a pill. It’s off patent. OPEN YOUR EYES TO THE TRUTH. MONEY :moneybag:",2
329,,stay at home orders,I wonder if people truly understand the difference between quarantine and stay at home for your safety :thinking_face: #COVID,0
535,535.0,face masks,Just been to the Petrol station. About 50-60% not in masks! Police turned up- they just went to subway... tide is turning! #NormalPeople,2
1647,1647.0,fauci,@thehill Why are we still giving this liar who is spreading death and destruction through #misinformation a microphone? The press needs to keep Trump's epidemic of #coronavirus misinformation from spreading.  It's a double #pandemic. Please promote #DrFauci or like experts. #StayAtHome,1
526,526.0,face masks,"Masks look to be part of our lives for some time to come, so it's more economical (and eco-friendly) to buy one or two cloth masks that you can wash and wear again. They're widely available (look online) and come in a huge range of patterns and colours.",1
2865,2865.0,stay at home orders,@BregmanPs @LindseyBoylan The Trump admin is so short-sighted. The only reason they mention collateral damage in context of health due to the shutdown is only to weigh it against the direct #COVID19 impact purely to bolster,1
309,309.0,face masks,I bet if we went around telling anti-maskers that there was a gay gene spreading through #Covid_19 they’d wear their masks.,1
120,120.0,face masks,#sundayvibes don’t consider yourself a pro life Republican if you won’t wear a mask :mask:,1
794,794.0,face masks,"They lost me on effectiveness of masks working when they release prisoners, mostly convicted pedophiles,  from prison instead of providing them masks. 
#WWG1GWA",2
408,408.0,face masks,"“A sleep-away camp in Georgia: Of the 600 campers and staff members, nearly half became infected within a week of orientation. The camp took precautions but did not require campers to wear masks. Singing and cheering may have helped spread the virus.” #noshit",1
2818,2818.0,stay at home orders,"Remember Eid will come again, 
No need to risk life. 
#StayAtHome",1
1850,1850.0,fauci,@LegendaryEnergy Just see how corrupt Fauci is by going to bitchute and watching Plandemic the movie.  YouTube removed it.,2
1050,1050.0,face masks,Excited to get back on the field with our guys this morning!!,0
687,687.0,face masks,"@tarsins @BreesAnna No I wouldn't. If this was the pandemic they predicted over 10million people world wide would have died. I'm sorry for the families who have list their loved ones, however wearing a mask in a normal flu season wouldn't stop it...would it? Peace :heart:
#KeepBritainFree",2
621,621.0,face masks,"@MrsVB @justjoysworld yeah, I’ll save all the masks for you. I don’t need one thanks anyway.",2
835,835.0,face masks,"I really think that not wearing a mask empowers others to do the same. 

I think it is particular to time of day/place too. On eve  train tonight, far fewer people had them on &amp;  I was in a poorer area too. Has anyone else noticed any trends with mask compliance? #kbf",2
222,222.0,face masks,"Lets just remember that its not the policy around face masks which will ruin the high streets 

Its the opinions and views of those who are ignorant and entitled which will damange high streets. 

Just get on with it and stop moaning
#facemasks ",1
1644,1644.0,fauci,@DanPatrick That Trump University degree isn't going to work against Dr. Fauci in reality remember it was shut down because it was a HOAX AND A FRAUD @FauciFan @NPR #DanPatrick #TrumpUniversity #Trump #Biden #Biden2020 #coronavirus #DrFauci,1
402,402.0,face masks,"I wish someone would tell the millions of medical staff world wide the masks they are wearing are:

&gt; Government tracking devices

&gt; Aliens that will attack and eat their faces. 

I hope they find out soon. Thoughts and prayers.  

#COVID19 #Masks",1
323,323.0,face masks,"@Jerry_Kersey @JadeIsMad @drdavidsamadi @realDonaldTrump You contracted it with the mask on, because other people aren’t wearing one. Your mask protects them from you. Masks only work if EVERYONE wears one!",1
34,34.0,face masks,"Friends, I just want to go to restaurants and attend music events again... but I can't... because I have a fucking brain, and I know you idiots are out there without masks, coughing on everyone else. #stayhome",1
1649,1649.0,fauci,"@gtconway3d Lol.

His expertise is bending a curve not throwing one...

The fact that these juvenile jackasses would even try to denigrate a scientist over a bad pitch just proves that they deserve eradication just as much as COVID-19...

#Biden2020
#TrumpVirus",1
558,558.0,face masks,"@JudgeDewie @EmmaRoulstone Lol. Paranoid crap. Put a mask on for an illness less deadly than seasonal flu, and you'll never, ever go out of the house without one. Time to grow up.",2
201,201.0,face masks,Two passengers arrested for not wearing a mask on a plane.. Where is Ted Cruz's arrest please? They should share a small cell. No mask allowed. #COVIDIOTS,1
936,936.0,face masks,"@drdavidsamadi If I were a Doctor, my concern would be why so many people simply enjoy servility.  
If they were actually afraid, they wouldn't be out and about ..my advice to to the 'mask'eraders, order everything you need to your home ..and stay there!",2
158,158.0,face masks,Let's be clear: it is all our business if you are not wearing a mask in our presence. This is not just about you. You don't have a right to kill those around you. If you harm someone for reminding you to wear a mask. You will be charged. Stop being selfish!!,1
871,871.0,face masks,Anyone been to wal mart with no mask??? What’s the script that the “health ambassadors ” feed you? #MAGA,2
281,281.0,face masks,"@ananavarro That representative from Texas said almost the same crap in his mind, refused to wear a mask when asked...Guess what, God doesn’t appreciate that crap...he’s now dealing with Covid-19 wherever he is.",1
1862,1862.0,fauci,"@realDonaldTrump Upset that @JesseBWatters didnt ask #DrFauci Y he ignored #Hydroxycloroquine's as a drug to HELP #CoronaVirus sufferers. Fauci, the Med EXPERT shouldve known EVERYTHING about a drug thats been around 4 over 3 decades-bcuz of HIM potentially 1000s of people died unnecessarily IMO!",2
2588,2588.0,fauci,"@CBSNews &gt;most European countries shut their economy by 95%

This is a complete lie.

The Netherlands, which barely shut down at all, had one of the best outcomes in Europe.",0
121,121.0,face masks,@calhouns So you won’t have employees wear mandated face masks?  So long.  Will NEVER frequent your restuarants!!  Maybe you could not enforce the smoking law too.  #calhouns #knoxville,1
805,805.0,face masks,@Berlesue @LindaHu71330699 @PolarBeardQc @DrDenaGrayson It must be difficult to get through life without a brain in your head.  Do some research. Masks are to silence you. Period.  Be a fools little sheep and keep conforming,2
845,845.0,face masks,@chuckwoolery @realDonaldTrump @realDonaldTrump PLEASE expose #firefauci Birx and CDC !  The truth about this Virus needs to be told.  They’re all #DeepState .  WE know they’re hiding behind “scientist” cover!  Why not private sector Dr’s speak at a presser?!  And,2
1829,1829.0,fauci,"#DrFauci wants a “Certificate of Inmunity” from #CoronaVirus as a condition to live huh? :ok_hand: Mine is on display at The Rotunda of the National Archives Building displaying the #Constitution, the Bill of Rights, and the #Declaration of #Independence. #CommunismKills",2
548,548.0,face masks,"LI’m no longer going to put up w this crap with the masks at PATH MEDICAL. I had a mask on, certified by the CDC!!! And they told me I need one of the ‘other ones’. Now we’re dictating which masks you can wear? These people are sick!",2
178,178.0,face masks,It’s not that hard to wear a mask. It is going to be very hard with no @NFL or @CFBPlayoff,1
765,765.0,face masks,@BannedDeplorab1 @philipsknowlton I DO NOT WEAR A MASK !!!!,2
1769,1769.0,fauci,@realDonaldTrump Time to Fire Fauci as he keeps lying to the public!,2
33,33.0,face masks,"@Politidope @JoeGruters No mask? Careless, self-centered no concern for anyone else’s health. Don’t be like Joe",1
1805,1805.0,fauci,@LucasFoxNews @mizdonna Wearing masks may have stopped the spread of this right from the beginning so of course Fauxi told people not to.,2
1609,1609.0,fauci,"Dr. Fauci is a National Treasure and we must protect him at all costs. 

#COVID19 #ProtectDrFauci #DrFauciIsANationalHero #DrFauci",1
1848,1848.0,fauci,@JaniceDean #DrFauci is hiding in his #SafeSpace on a #DemPlantation. His #DemSlaveMasters told him to start keeping a lower profile after he screwed up everything he said abt #COVID19 &amp; #Hydroxychloroquine + Zinc. #Dems have moved on to #Rioters &amp; #Anarchists.,2
779,779.0,face masks,@UReinke @fauxcanard @AllenGlover53 @Jesus2016comic Masks do nothing.,2
746,746.0,face masks,19 people without masks today in my local Tesco! Can guarantee the mandatory mask wearing will not work for very long. Asked one of the cashiers and she said they can’t question it and can’t police it themselves! :grin::grin::mask::mask::sheep::sheep: #NoMask,2
67,67.0,face masks,"It may not be a representative sample, but it was still really gratifying seeing nearly everyone at the @MortonArboretum wearing masks yesterday on the paths.",1
740,740.0,face masks,"@DailyMailUK No shit Sherlock, so normal people don't want 2B dictated 2 by little #hitler shop assistants who are gleeful with their new power or put up with good little public minions that glare &amp; confront people not stupid enough 2 wear masks, you do surprise me numbers are down!",2
66,66.0,face masks,"@Walmart start protecting your employees and customers and start regulating and mandating masks. I probably have it already as well as 8 other associates in my neighborhood market. 
Please at least pretend you care. 
They actually help. ",1
1681,1681.0,fauci,“A risk to you is not just a risk to you. Because if you get infected you are part of the dynamic process of propagating the pandemic.” #DrFauci #COVID19 #coronavirus,1
245,245.0,face masks,"Shopping at @WinCoFoods 
Me to ""lady"": If you're not gonna wear a mask, please don't stand next to me or my kid.

Her maga mask half ass wearing husband: ShE hAs A illnEsS, diCk!

Me: Then wear a fucking mask, idiot!

Him: FuCk YoU, cOmMuNiSt cUnT!

Awful humans.",1
4194,4194.0,school closures,First they included BPL students in private schools through RTE. Than they controlled fees through FRC. And now they don't want schools to collect fees and yet give education. What habit and trend are we creating for our future?,2
2938,2938.0,stay at home orders,"@BCGovNews We absolutely can do better.

Let's talk about the addictions &amp; overdoses, the jobs and businesses lost, the depression &amp; anxiety, the fiscal irresponsibility, the perverse incentives paying people more to stay home than work...

Do better...",2
750,750.0,face masks,@DrEricDing He didn’t get it because he WASNT wearing a mask!!! Covid goes through masks you giant group of idiots!!! And there’s a cure in #hydroxycholoroquine  so get over your stupid #Plandemic rules and regulations that are killing people through depression and suicides!,2
355,,stay at home orders,#Coronavirus safety .. #Kindly #stay home #stay safe #stay clean,0
1792,1792.0,fauci,"#DrFauci an anti Trumper inciting panic "" #coronavirus ten times more lethal than the flu 
The flu has already killed 10,000 across US as world frets over coronavirus death rate among infants highest in 17 yrs.",2
1650,1650.0,fauci,"These #ComplicitCorruptGOP bastards didn't pass 8th grade biology, but want to attempt to best #DrBright  and #DrFauci Would rather 80k dead than to serve and wrestle with truth. #GOPCorruptionOverCountry Shameless political hackery will continue #COVID19 deaths.",1
614,614.0,face masks,"@GovHolcomb Abby's is sweet &amp; Abby's parents are responsible for her. An entire state &amp; the healthy should never be told to mask up for those who may or may not need 2 stay home. Surgical/homemade masks don't stop a virus, never has, never will. Quarantining the healthy is ludicrous.",2
640,640.0,face masks,@IAGovernor @IGHSAU Yes!  Spend the day outside and get some sun  and no mask and get some fresh air.  Best way to keep up your immune system.,2
301,301.0,face masks,@keithppereira @JudgeJeanine @DrLindaMD @jeremyphoward @nkagetsu @gretchemaben @KTamirisaMD @ajgunnmd @marklewismd @jkwan_md Omg :clown_face: please #WearAMask,1
200,200.0,face masks,"@OrigWolfePack @Bakari_Sellers Didn’t u hear? Per one FL woman, she shouldn’t have 2 wear a mask 4 the same reason she doesn’t wear underwear: cause “things gotta breathe”. How many fatal underwear-wearing incidents have you heard of? And what does this lady do when it’s her time of the month?",1
745,745.0,face masks,"Media claim the UK had the most excess deaths during lockdown. Firstly, I'm not sure if this is true. Secondly, it's implied the excess deaths are due to Covid19. When in reality they are probably due to the NHS closing its doors to everything over than Covid!
#COVID19",2
1670,1670.0,fauci,"It's time for #DrFauci #DrBirx &amp; other scientists &amp; medical experts on #coronavirus to start having their own DAILY BRIEFINGS BUT w/o TRUMP.
America must hear facts, truth &amp; medical advice w/o Trump's spin.

@CDCgov @NIH @nytimes @wapo @maddow @JoeBiden @maggieNYT @AshleyRParker",1
552,552.0,face masks,"@DVATW I went to Debenhams last Friday, mid afternoon. I realise they’re having problems at the moment, but in a huge shop, I counted 6 customers. Other shops are the same, numbers way down. The compulsory wearing of masks (for nothing) is killing the high street.",2
1751,1751.0,fauci,@DrEricDing Lmao aerosol can go up to 12-15 feet so it's dumb anyways. Masks aren't even proven to work. And to top it all off the CDC inflates deaths. We have two known treatments #HydroxycholoroquineWorks,2
1843,1843.0,fauci,@realDonaldTrump I have CURED Aids! Stop having unprotected SEX with everything and everyone.. #DrFauci has took 40 years on this.. SIMPLE fix in one post.. #AIDS #COVID19 #Pandemics,2
1745,1745.0,fauci,@realDonaldTrump People need to get their haircut and nails done. You're ridiculous!! I'm not voting for you !! You have completely lost your conservative values. You need to fire #DrFauci . You need to be mad at #DrFauci @VP @FoxNews #COVID19,2
1756,1756.0,fauci,"Thanks for spurring a lockdown that led to millions losing their jobs and govenrment pumping ridiculous amounts of money to the economy.

When we go through our Weimar hyper inflation phase, just remember to thank fauci",2
1633,1633.0,fauci,"When the grade #America leaders after this #COVID19 crisis,  leaders like @GavinNewsom @GovMurphy @LondonBreed @GovInslee #DrFauci and @NYGovCuomo will go down in history as the pacesetters and leaders of turning the corner!",1
78,78.0,face masks,"@SenJeffMerkley @realDonaldTrump Dear Senator, thank you for all you do to represent Oregon. Hair clippers are fairly inexpensive and easy to use. Or next time you’re in the valley, I’ll even trim your hair, mask and all. And as an educator I have practiced social distancing all summer.  :scissors_selector: :man_getting_haircut_selector:",1
43,43.0,face masks,"@wheredoustand1 @Ms_Deville @lightfal @itsJeffTiedrich @realDonaldTrump Welp considering the it’s the States who are being travel banned right now and more people have died then in wars, maybe it’s not a hoax?

Ps had Trump taken Covid seriously, economy probably wouln’t have crashed like it did

#consequences ",1
2576,2576.0,fauci,"@MarshaBlackburn @realDonaldTrump Do you ever work? Or do you spend all of your time parroting Trumpian propaganda?

#ComplicitCorruptGOP 
#GOPBetrayedAmerica 
#TrumpLiesAmericansDie",0
1754,1754.0,fauci,"@CNNPolitics Fauci is a fraud. He said coronavirus was nothing to worry about. Then said masks are harmful. Then said masks should be mandatory. Then said everything needs to be shut down. He also gave money to the Wuhan lab that released the virus.  

#FireFauci",2
1637,1637.0,fauci,"The WH found their scapegoat because trump failed in preventing the spread of #Covid19, &amp; 137,000 people died, &amp; the economy collapsed!

",1
1663,1663.0,fauci,"@mmpadellan Fauci!  Bless the man who actually has principles! Once again, Trump and his minions will sell fiction as facts and all of his followers won’t even bother to question it. #TrumpLiesPeopleDie",1
3021,3021.0,stay at home orders,"FIVE Democrat Governors are destroying the Airline Industry!

Draconian restrictions on air travel between 25 states are causing thousands of layoffs.

OPEN AMERICA NOW!
@TheJusticeDept 
@realDonaldTrump 
@DonaldJTrumpJr 
@FAANews 
@GovMurphy",2
668,668.0,face masks,@MtnMD @laurajo82878461 @FreeThinkMind @DrKellyVictory @kksheld @drdavidsamadi People who make kids wear masks while their immune system develops will be responsible for many many illnesses and deaths later. It’s child abuse.,2
1861,1861.0,fauci,2.) wear a mask then insist on one.. it goes on &amp; on.. so why wouldnt his boss @POTUS question his expertise.. he hasnt been right yet.. locking people down for 3 plus months should never happen&amp;that was his brain storm it just goes on.. he is a @BillGates follower&amp;,2
1858,1858.0,fauci,"Saturday July 25, 2020. What will Dr Fauci's excuse be for not wearing a mask?

#SaturdayThoughts ",2
1844,1844.0,fauci,"I love how #DrFauci and all these health professionals tell us to stay home with masks on as they run around all day , no masks on , right next to each other and are fine? #COVID19",2
1667,1667.0,fauci,"#USA Governors working together on a plan for the good of the country while @realDonaldTrump threatens  #DrFauci for telling the truth about his failures.

#COVID19",1
807,807.0,face masks,@SidneyPowell1 @GoJackFlynn No masks in our schools!!,2
820,820.0,face masks,"@Shrimplypibbl10 @ChuckCallesto About half as much as not submitting and refusing the mask all together. If you’re gonna be spiteful, be SPITEFUL!!!! ",2
1758,1758.0,fauci,Fauci shoulda been discarded by the president 4 months ago. Listening to him might be the biggest mistake of his presidency,2
1855,1855.0,fauci,I can’t help but notice that @realDonaldTrump’s daily briefings have moved to after the #djia closes to prevent Dr. Doom from crashing the it every afternoon. #WuhanVirus #ChineseVirus #coronavirus #ThursdayThoughts #DrFauci #maga #FakeNews #FakeNewsMedia #ChinaLiedPeopleDied l,2
806,806.0,face masks,@conmomma No masks PERIOD.  It's time to end this #FearPorn madness.,2
1747,1747.0,fauci,"@bpolitics #DrFauci belongs in jail or a retirement home; not lying before #Congress :woman_facepalming:

#COVID19",2
842,842.0,face masks,@LarrySBoldt @fordnation Ditto with respect to any business requiring a mask and we will continue to boycott these businesses once they lift that requirement.  We have no problem supporting those businesses without a mask requirement.,2
1727,1727.0,fauci,@CNNPolitics No. Fauci is on the cover of magazines acting like America’s next top model. He’s a lying agent of chaos.,2
71,71.0,face masks,"Get use to being uncomfortable, so ADAPT to NEW NORMAL! WEAR THE MASK! ",1
1722,1722.0,fauci,"@thejuliaeffect @realDonaldTrump Monday, April 13, 2020
Throwing Trump under the bus: Dr. Anthony Fauci Tells Al Sharpton He Warned Trump Admin in Mid to Late January “We Were in Real Trouble”from Coronavirus....His subsequent quotes on 2/29 &amp; 3/09 should disqualify him as an expert.",2
578,578.0,face masks,"@davidicke I've had enough of this madness,I've seen and heard of false covid-19 cases.What happened is our care homes to people we love, is unthinkable.Small business are going down (myself included) and more.We need to take are country back.

We need to do something now!",2
704,704.0,face masks,"@ICMdoc @lyndsay_hopkins @ShippersUnbound Yeah.... Actually no, the guidance has been a joke &amp; the why has been for corporate money making.
Am over 50, v healthy, don't wear a mask (ever) or social distance (oxymoron). Won't have a vaccine, nor will I shield for a disease that's virtually gone in the UK. #KBF",2
226,226.0,face masks,"@K_Thomas113 @AsaHutchinson @AsaHutchinson doesn't want to anger the ant-mask Trump base at the cost of public health. I hope I'm wrong but what else could it be?
#Arkansas ",1
86,86.0,face masks,"A face mask in not impeding your everyday life. I just went into a sandwich shop and a sausage bap, wearing a face covering. It's so simple...",1
653,653.0,face masks,"Isnt it funny how all wars and terrorism seems to have ground to a halt

Its almost as if the people responsible for war and terrorism have been busy on another project #Coronavirus #Scamdemic #Covid1984 #Masks",2
1840,1840.0,fauci,"@SomeBitchIKnow For someone who created the coronavirus and the AIDS, Dr. Fauci sure looks like he’s enjoying the spotlight here.",2
1881,1881.0,fauci,"@piersmorgan I don’t know, you should check what they actually died from. As per #DrFauci and #DrBrix even if you die from a trip and fall but you test positive for the virus it’s a #COVID19 death! Why are they lying????",2
571,571.0,face masks,Not wearing a mask because I’m in my own greenhouse.,2
553,553.0,face masks,"@loulahlexa @BorisJohnson Agree .. I hate seeing people wearing them . Can’t read face expressions, can’t hear what’s been said . I like to go out and do my shopping in peace , without people staring at me because I’m not wearing a mask! ",2
1742,1742.0,fauci,@realDonaldTrump Take them down.  Big pharma and their paid representatives are killing Americans by the thousands every year.  Your buddy Fauci was against the cure for Covid from the beginning and now tens of thousands of dead Americans are on his hands.  They put profit over health.,2
1795,1795.0,fauci,#DrFauci is severely compromised. His inability to contain this epidemic is due to his investments in bio labs that produce vaccines! #COVID19 #@realDonaldTrump #MAGA2020,2
1762,1762.0,fauci,"@360_Secure @JohnSoros2 @PokerPolitics @fema @HHSGov @CDCgov When #DrFauci explicitly stated that the American people shouldn’t worry about #Coronavirus on Jan 21, #Trump should have done what by Jan 31?  When should Trump have ignored Fauci and instituted an international lockdown?  When should Trump have locked down the planet?",2
1160,1160.0,face masks,"Not a good day today!

UP Cabinet Minister succumbs to COVID-19.
Union Home Minister tests positive.
Tamil Nadu Governor tests positive.
UP BJP President tests positive.

#StayHomeStaySafe",0
722,722.0,face masks,"Biden guilting the American people by implying if you don’t wear a mask, you don’t care about people and you’re automatically going to infect everyone is absolutely disgusting. 

I didn’t think this guy could go any lower. 

#NeverBidenHarris",2
2702,2702.0,fauci,"@ImJustTommie @Acosta :joy::rolling_on_the_floor_laughing:  It's too bad this isn't funny, so I have no idea why I'm laughing.  #COVID19  #CDC  #TrumpIsNotWell",0
762,762.0,face masks,Seeing lots of photos of kids wearing face masks. This is brainwashing and child abuse. #nomasksforkids,2
1799,1799.0,fauci,"@CBSNews SERIOUS QUESTIONS for #MSM like you. If #MaskUp &amp; #QuarentineLife is sooooo successful... (1) WHY did we have a ""supposed"" outbreak after we started #reopening &amp; (2) WHY were prison &amp; jail inmates RELEASED instead of masked-up? We DESERVE &amp; #DemandAnswers to #DNC &amp;",2
1733,1733.0,fauci,"@thehill Now talk about how his royal highness, Dr. Fauci, was MASKLESS in the stands at the Nationals game yesterday...sitting shoulder to shoulder with other maskless friends.  You people are pathetic.  #Hypocrites",2
4334,4334.0,school closures,"Anyone who would strap a mask on their child's face for 5 minutes let alone 7 hours should be jailed for child abuse.  

Any Dr. who recommends putting a mask on a child should be stripped of their medical license - at the minimum.",0
1519,1519.0,fauci,"#WeReopenSchoolsWhen    

When @realDonaldTrump releases his tax-returns 
When @realDonaldTrump listens to top health experts 
When @realDonaldTrump makes the kkk a terrorist organization

When we have a vaccine!#Covid_19 #coronavaccine #facemasks #CowardinChief ",1
1228,1228.0,face masks,"@AHickinbotham @McCDick Divide and Conquer ! 

I wish people we see this and understand this 

Coronavirus Bill is a control mechanism designed to test our compliance !

If we don’t resist now then it’s game over !",0
3994,3994.0,school closures,We don’t want free stuff! We  appreciate the best efforts put in by our schools. Our school deserves to take fees  for adapting to the new ways of teaching!,1
2913,2913.0,stay at home orders,"@realDonaldTrump @realDonaldTrump 
If #schools and #universities do not open in the near future, why should they receive #funding, there should be a fundamental change in the education system
#ReopeningSchools",2
3102,3102.0,stay at home orders,"The virus uptick in the south is obviously because it's hotter than hell down there and everyone is going inside! Has nothing to do with restaurants or beaches or anything else.
Well, maybe protests.",2
1683,1683.0,fauci,"@kenolin1 Dr. Fauci is one of the most revered and respected physicians/experts in the USA.  No one has ever had a bad thing to say about him regarding his work and ethics but here comes Trump willing to discredit his 40 years of work to deflect responsibility 

#TrumpVirus",1
1080,1080.0,face masks,"@glennbeck Except.... Hydroxychloroquine doesn’t work.
#ListenToFauci",0
701,701.0,face masks,@realDonaldTrump That's wonderful... NO ONE IS WEARING A MASK..,2
