,Unnamed: 0,premise,text,stance
4280,4280.0,school closures,"Hearing rumblings of a stay-at-home order for Texas w/in 24 hours.  @GovAbbott, don't do it.  Stay the course.

Dusting off my civil disobedience manual.  #TexasCOVID #TexasCovid19 #HerdImmunity",2
2382,2382.0,fauci,"@latimes #Fearporn sells.  

#PlagueOfCorruption #Coronavirus #COVID19",0
4264,4264.0,school closures,I've been in online college classes. All yall are about to get dumb as fuck. #COVID19 #coronavirus,2
4483,4483.0,school closures,Why don’t the small percentage of parents who feel that online education is useless withdraw their children from private schools and admit them in free govt. schools with highly paid and qualified teachers? Why make majority of parents and students suffer?,0
2611,2611.0,fauci,@WhiteHouse STFU! How many more people have to die before someone in this administration does something useful? A national mask mandate would do it but...that would mean you’d have to have a backbone and stand up to the blubbery buffoon!,0
247,,fauci,"#CoronavirusFactCheck From Dr . Fauci : There is still “ no definitely proven drug that is effective against this disease , ” despite Trump 's claims to the contrary . Anthony Fauci Debunks The Biggest #Coronavirus Myths #COVID19 #StayAtHomeAndStaySafe HTTPURL",1
2591,2591.0,fauci,@ABC Is he cutting money still for the testing?!,0
2503,2503.0,fauci,"@realDonaldTrump It ""would be so great"" if you resigned today.   Over 135k lives have been lost to COVID-19 &amp; you continue to do nothing.  You also think most have forgotten about the Russian bounties on our military, but we haven't.  

#TrumpTraitor #TrumpGolfsAmericansDie",0
2524,2524.0,fauci,"#Updated: May 13, 2020, 01:49 GMT. USA 21:57 EST May 12.

Coronavirus Cases:
4,340,058
Deaths:
292,816
Recovered:
1,602,155

USA Cases:- 1,408,636
Deaths:-  :eight::three:,:four::two::five:
New Deaths:- +1,630
New Cases:- +22,802

#ChineseVirus 
#USA 
#California 
#DrFauci 
#VALORANT 
#CA25 
#Trump",0
2478,2478.0,fauci,Alien DNA huh #trumpretweetsidiots #wtaf #TrumpVirus,0
3053,3053.0,stay at home orders,@GavinNewsom If you're truly concerned about the spike in hospitalizations why haven't you asked for the floating Navy Hospital to return? Why have the popup hospitals closed?  #FakeNews,2
1305,1305.0,face masks,"@MerwinDamian @aubrey_huff When I see an idiot, I cross the street too! #COVIDIOT",0
4403,4403.0,school closures,How are they going to pay teachers when they can't afford to pay R350.00 for Covid-19 Social Relief of Distress Grant.,0
2511,2511.0,fauci,Coronavirus lockdown ends on his birthday what would you do if that was true? #Quarantine #DrFauci #COVID19 #Manager #Heel #RonSimmons #RayLewis,0
2376,2376.0,fauci,@CNN @ddale8 What the he’ll is wrong with him?! #COVID19,0
4370,4370.0,school closures,So grateful to be entering my 13th year of homeschooling.,0
2325,2325.0,fauci,"@chuckwoolery Ignore the haters Chuck. You're on the right side of history!
#Scamdemic",0
1309,1309.0,fauci,@PeterNavarro45 I am extending an invite to you and all your cronnies to #Brooklyn #NYC to repeat the shit you have been talking about our boy @DrAnthonyF I will pay for all of your medical bills afterwards.  #FlattenTheCurve #COVID19 #pandemic,1
2278,2278.0,fauci,@KMPHFOX26 Who VOTED for that FRAUD? Why is he n CONTROL of the USA?,0
3121,3121.0,stay at home orders,Sick and tired of #tyrants!  #freemichigan #RecallWhitmer #maga,2
1088,1088.0,face masks,@NSWHealth @GladysB Masks yet?? Or are we just going to wait and become Victoria???,0
3974,3974.0,school closures,"literally everyone at my school is sick. everyome. maybe jot with the corona virus but everyonen is sick, coughng, sneezing, literally everywhere.",1
3215,3215.0,stay at home orders,@tracybeanz The tests are not narrow enough. All Covid viruses are positives. The swabs? Are they tainted? The testers? Are they biased?,0
2114,2114.0,fauci,"Welp, I finally know someone with #TheRona and it’s me. Like a head cold and but can’t taste a damn thing. Not worth the hype 10/10. #hoax #OpenAmerica",2
2734,2734.0,fauci,"@realDonaldTrump No Mr President. End the state of emergency and make it unlawful for state and local government to enforce any further ridiculous ineffective measures that are only meant to cause psychological lockstep. Oh, and",0
2173,2173.0,fauci,@FOX10Phoenix And @FOX10Phoenix and @CNN will say it was #covid19   “The bullets were coughed on in the last 14—errr 7 days.  Forget the GSW!  It was COVID!!”  #wakeup #plandemic #hoax #wehavebeenbamboozled,2
3511,3511.0,stay at home orders,"It was a full house and we are grateful :raising_hands_dark_skin_tone: to our panelists and participants:busts_in_silhouette:. 

We hope to continue with these webinars:woman_technologist_medium-dark_skin_tone::man_technologist_medium-dark_skin_tone: and will love to have you on the next",0
3656,3656.0,stay at home orders,"We are honoured to help all the countries in the midst of #Covid_19 .
We stands to fight against #COVID19 rather than other enemies. 
#India #SushantSinghRajputDeathCase #BreakingNews #BREAKING #faceyourart #facemask #facecovering",0
2370,2370.0,fauci,"@davenewworld_2 What's happened to common decency? Courtesy? The basics we were taught as children. No Shoes, Shirt, No Service is ever questioned yet Masks are such an issue. 
This is a Health Issue not a Political Issue. Don't believe me ask your local Health Department :punch::v::100:",0
4132,4132.0,school closures,We send our children to schools so they get quality education and become something great in future - except being a teacher. And yet one who makes them all is ignored. Irony or hypocrisy?,1
214,214.0,face masks,"Yesterday, a woman I passed in an enclosed area was wearing a mask with 45*’s name on the front. As much as I wanted to be irritated (knee jerk reaction nowadays), I secretly applauded her for putting common sense and safety first over politics (sort of).",1
138,138.0,face masks,I am so fucking tired of GROWN ADULTS whining and complaining about having to wear a mask in our restaurant. I'm sorry..are you not an ADULT? is it too hard to be a fucking grown up?!,1
1153,1153.0,face masks,@realDonaldTrump And now I bet they're wishing they had stayed in space #TrumpVirus #TrumpFailsAmerica,0
4355,4355.0,school closures,The very same leaners are going around the streets and our communities without Masks. I just came back from the shop's and no-one is wearing a mask in my community. Government must just make the  unemployed youth  ambassadors for Covid-19.,0
1390,1390.0,fauci,"@suzydymna @realDonaldTrump That’s a laugh. Trump has failed Americans. His incompetence is epic. Failed to act last January when he learned of Covid19. He has no plan for recovery.  145,000 Americans are dead. It took trump 6 months to recommend mask wearing.",1
2401,2401.0,fauci,@morethanmySLE Mask,0
2924,2924.0,stay at home orders,@davidashleywall It’s more than just tourism: this has real world consequences for people that thought they could go to work on Monday.,2
3705,3705.0,stay at home orders,"Right now, people across NH are stepping up in heroic ways to do everything we can from home. We’re taking care of our kids &amp; other relatives, while we’re working or trying to find work. And we’re staying engaged w/ our govt #nhpolitics",0
3375,3375.0,stay at home orders,"Any business owners out there have a 20yr old inspector come to your office/place of business yet to instruct you on how to use hand sanitizer &amp; disinfectant?:expressionless:

Its happening in Pennsylvania

PS Theres a plexiglass shortage 

#COVIDIOTS 
#coronavirus",0
2482,2482.0,fauci,@realDonaldTrump I think it's probably because a virus that's killed 140k people and that will probably affect 50 million of us seems a little more important. #NotMyPresident #facemasks #Covid_19,0
1234,1234.0,face masks,"Trump wore a mask today. Guess @GavinNewsom will be reversing the silly mask requirement now!
#MAGA #KAG #Trump2020 ",0
4179,4179.0,school closures,"If schools are not reopening this year, can I stop paying my school taxes?",2
2309,2309.0,fauci,"@asheborn57 @boonie_kevin Can Fauci just be the mascot for the Coronavirus Task Force? With goggles, of course.",0
2356,2356.0,fauci,"""There will be a #CoronavirusOutbreak in the Fall."" -#DrFauci 

@WhiteHouse #COVID19",0
2306,2306.0,fauci,@gatewaypundit @KristinnFR How about NO!,0
2390,2390.0,fauci,"@CDCgov stands for 'Centers for Disease Control and Prevention'.WTH would anyone trust information about #COVID19 from ANYONE else?!This is 1 more step towards totalitarian rule!Fake numbers r going to be seen now. V are going to see 'reduction of #COVID19 cases""",0
313,313.0,face masks,"@tirghrathoir @ResisterSis20 This guy is a pastor?  No church I want to ever go to. He’s a fucking moron. Suggestion: If he or any member of his family EVER needs surgery, the surgeon, anesthetist, nurses, ...should NOT WEAR MASKS!  No way in hell Jesus will let this guy in. #COVIDIOTS",1
4240,4240.0,school closures,"Is shutting down schools going to affect teacher and learner's mental health? 

#OurFutureNeedsYou
#WellnessWednesday",2
4333,4333.0,school closures,"Time is passing,the Coronavirus is not!#CUNY",0
204,204.0,face masks,So I just got told to wear a mask in a shop by an attendant who herself wasn't  wearing a mask. I put it on anyway as i'd simply forgot but that's fucking insane. #WearAMask,1
3477,3477.0,stay at home orders,"@NicolaSturgeon Scaremongering.
Much.",0
1140,1140.0,face masks,@BorisJohnson So therefore make it compulsory in all shops. Lots of ppl lack common sense fhs #provenfact,0
3410,3410.0,stay at home orders,"Yes, hello. Putting “had such a great time doing _______ while social distancing!” as your caption under a picture of you with a group of 20 people, does not make it social distancing. Thank you for coming to my TedTalk. #MaskUpAZ",0
2301,2301.0,fauci,Who fuuking believes ANYTHING the CDC and these ‘lockdown Democrats’ / teacher’s union say about COVID19 anymore?!? #Scamdemic,0
3808,3808.0,school closures,Schools will perfectly help me spread. - The Virus:microbe:,1
2352,2352.0,fauci,"@MatthewJshow @realDonaldTrump @nytimes Unlike Donald J Trump, the laughing stock of the world, the
New York Times is respected globally.
People around the world are shocked by how terribly Trump &amp; his administration have handled the COVID-19 pandemic.
#TrumpDeathToll139K 
#TRE45ON
#GOPComplicit
#Biden2020",0
2283,2283.0,fauci,"@RepAndyBiggsAZ My God, you are a little, little man. #TrumpVirus",0
2609,2609.0,fauci,"@realDonaldTrump 146,632 deaths. 4,197,184  cases. Covid growing exponentially. Only 15.2% tested. STILL NO PLAN. 43 million unemployed. US soldiers being murdered by Russia @realdonaldtrump @gop @vp @whitehouse @lindseygrahamsc FAILED AMERICA   #trumpownseverydeath #trumpgenocide",0
1777,1777.0,fauci,For telling us that masks don't work..,2
4176,4176.0,school closures,"@Acosta @MikeGiardi Germany. Iceland Netherlands all did actual studies in schools.  All 3 concluded kids in school pose no risk to themselves, nor to others",2
2942,2942.0,stay at home orders,More worrying than covid mum and daughter is that my son of only 28 months old attempts to move off of pavements to avoid people. This country is too much.,2
257,,fauci,"What Covid 19 stats are the truth ? One day Dr Fauci say the high end death rate is 100,000 ; the next day it 's 200,000 . Just give us the facts ! #Covid_19 # r . Anthony Fauci",0
486,486.0,face masks,"The people who say wearing a mask is ""living in fear"" are the same people who are afraid of sharing a public restroom with a transgender person. #COVIDIOT",1
2420,2420.0,fauci,THERE IS NO NEW TONE #coronavirus #TrumpPresser #TrumpHasNoCredibility #WearADamnMask #Biden2020 #TrumpFailsAmerica #Covid_19 #itwillgetworse #StopTheSpread,0
4463,4463.0,school closures,"@Tges_Official Parents should have a right to choose the format of their children's education, especially in such uncertain times. We don't know when #schools will open, so there have to exist various avenues for children to continue their #education",0
4015,4015.0,school closures,@ChuckGrassley @realDonaldTrump Then why are schools being forced to open if he is so caring?,1
1250,1250.0,face masks,@aravosis @margauxdemerle That is an awesome idea. Thank you for this. I like it.,0
2558,2558.0,fauci,"@RandPaul Stick to glasses. Stay in your lane. 
#COVID19 
#TrumpVirus",0
3003,3003.0,stay at home orders,@gayewrosser @GovAbbott @NASA_Johnson Id be interested in how much money you're making while staying home.,2
386,,stay at home orders,Remember to stay safe and wash your hands ! #coronavirus,1
4512,4512.0,school closures,@JoeNBC Yet 24/7 we can count on @JoeNBC to deliver #DoomAndGloom from a Democrat Activist view. There are more deaths WW from flu than Covid. #OpenAmerica and,0
1106,1106.0,face masks,Which do u #fear most.? :flag_for_United_States: #Polls #Poll #Polling #TwitterPoll #tweet #TwitterPolls #Montana #Android #virus #Texas #iPad #iPhone #USA #stayhome #Facebook #shutdown:lock: #StayAtHome #fullmoon #mentalhealth #coronavirus #POTUS #economy #SAMA26 #Bioterrorism #COVID19 #MaskUp,0
4516,4516.0,school closures,"@RNSompura @mehtasumeet @Francis_Joseph @CMOGuj @vijayrupanibjp @imBhupendrasinh When we teach our students online, we teach them with 100% chapter clarity, we are covering up 100% syllabus. So its not only about cost bare by schools. Its about their teachers' 100% dedication. So i think the comparison is not correct.",0
2262,2262.0,fauci,"@reaIDonalTrump_ The sooner, the better! Why was he ever hired to begin with?!",0
2408,2408.0,fauci,"As part of his argument to relax restrictions on social distancing, #DonaldTrump stated that the #USA is starting to see light at the end of the tunnel. Would #DrFauci please advise the #President that the light he sees is a train barreling down on him...the #COVID19 EXPRESS!",0
3104,3104.0,stay at home orders,"@WWLTV #BeOn4 u see what this #covidhoax has done!!! the businesses  it has cost us!!!!! #RIP #kPauls  #DemocratsAreDestroyingAmerica 
#anotherOneBitesTheDust 
#NewOrleans @LouisianaGov 
#StopTheMaskMadness",2
271,271.0,face masks,"It’s a sad day, that the main news is Trump wears a mask! #MasksOn ",1
1141,1141.0,face masks,@NicoleArbour Wearing a mask.,0
3649,3649.0,stay at home orders,"@GovWhitmer Donald Trump is trying to kill the black people so that we can't vote his sorry ass out of office.. 

",0
207,207.0,face masks,@funder I would hope the mask-less boobs are put on the No Fly List.,1
495,495.0,face masks,@Constance8News I’m so sorry. Why is wearing a mask so hard?,1
4326,4326.0,school closures,"Which other sector has been banned from providing services or collecting revenue? 
So liquor shops, malls, all were poor hand-to-mouth and show must go on for them; while all schools have been doing is exploit parents! Is that how schools have been perceived",0
2291,2291.0,fauci,"Let us not forget the CDC has quietly listed the COVID-19 mortality rate as .4% and we're being forced back into our homes because of a ""2nd wave"". 

#Plandemic2020",0
2534,2534.0,fauci,@ABC Are these #'s correct b/c it seems like some states are #underreporting cases due to lack of #testing. #coronavirus #COVID19 #therona #DrFauci #ThursdayThoughts #health #contagionmovie #NoPlanetB #PeopleOverPolitics #peoplebeforeprofit,0
877,877.0,face masks,@GeorgeHatcher @TravelPulse If you have trust in your mask why you worried about others not wearing them?,2
4116,4116.0,school closures,"News station: ""What will parents do if schools don't re-open this fall?""

Me: ""Survive.""

#COVID19 #pandemic #schoolsreopening",1
2320,2320.0,fauci,#DrFauci will not be present at today's White House coronavirus briefing.,0
3570,3570.0,stay at home orders,"@ChatChristi More than likely, since it was already here much earlier than previously reported.",0
2366,2366.0,fauci,@EpigeneticWhisp @BoonieKane Not gonna happen-Trump signed a new exemption from liability for vaccine makers in 2019.,0
3296,3296.0,stay at home orders,@mellebeth Oh wait - the Governor has extended the electromic meetings allowance to the end of August (a week after saying it would not be extended)!  A bit more time working,0
470,470.0,face masks,"@GovRonDeSantis @BrowardHealth @floridachannel Allow me to save you the time-here’s what he’ll say -“...blah, blah blah, lower case numbers, blah, schools are fine, blerp, Trump calls me Eric, blah, no state mask order, blerp.”                         #DeSantisResign #DeathSantis #DeSantisLiesFloridiansDie",1
1121,1121.0,face masks,@fxp123 He's only 27.  Covid-19 can have residual effects on older and younger people.,0
377,,stay at home orders,#Oregon Kate Brown orders official ' Stay At Home ' order #COVID-19 #coronavirus HTTPURL,0
2630,2630.0,fauci,"#Trump WH forbids #DrFauci from testifying before the House of Representatives (controlled by #Dems).

Hwvr, Trump WH *will* allow #Fauci to testify before #MoscowMitch""s Senate b/c controlled by #GOP.

This is no time to play politics &amp;/or censor the truth.

#CoronavirusUSA",0
2123,2123.0,fauci,"@aubrey_huff @realDonaldTrump #ChinaVirus and #BillGates and #DrFauci and #Democrats 
Evil:smiling_imp::smiling_imp::smiling_imp::smiling_imp:",2
3098,3098.0,stay at home orders,"So, my sons girlfriend just texted him to let him know that 2 of her friends made appts to go get tested for #COVIDー19. They just got emails saying they tested positive....problem is.....wait for it....they haven't been tested yet!!! WTF?? #MAGA2020",2
208,208.0,face masks,"POLL!

If you go into a shop without a mask, what are you most afraid of?
RT for wider sample.

#Covid_19
#BLMUK
#mask",1
4496,4496.0,school closures,@PMOIndia @narendramodi Yes.... you mentioned right Sir. #schools but now we need to #SaveOurSchools our schools are shutting and so will our bread and butter. No fees is not a solution.,0
2367,2367.0,fauci,@zev_dr Many WHY’S Doc!! He needs exposed at a higher level!,0
195,,school closures,Most workers must #stayHome #CoronaVirusUpdate HTTPURL,1
2580,2580.0,fauci,"#DrFauci saying that at its height US was only up to 50% lockdown &amp; the rest of Europe &amp; UK was 95% #COVIDー19 
Americans want freedom at any cost",0
4520,4520.0,school closures,We need to have faith in our schools! Not all schools are running after money. My school is passionate about working for the best interest of children. I stand for my school.,0
3220,3220.0,stay at home orders,@_DavidUquillas Thanks for following! #WritingCommunity #WearAMask,0
3304,3304.0,stay at home orders,Happy weekend everyone be safe....this pandemic is serious matter,0
2750,2750.0,fauci,"Funny:thinking_face: not ONE THING TRENDING ON THE #protest2020 
#BlackLivesMattters 
#coronavirus 
Your five minutes of fame are over.. GO HOME AND GET BACK TO WORK!!!",0
2556,2556.0,fauci,"@ec_kag @D_P_Patterson @G_TheOriginal @RogerFritz7 @LedferdraRobert @prokaski @IsidorMeyer1 @lizBeth_Hineni @KatDelT @BreatheAgain777 @ShawnG927 @Joedelfino7 @QTAnon1 @kimszc1 @MichaelJLeBoeu1 @TexasDeplorabl4 @GA_peach3102 @Lordsbondserver @conservativma @socalpony2 You forgot the part ""except if your protesters"" &amp; then make sure he's holding a sledge hammer.

We can gather to tear down our jobs, we just can't make money with them.

They need the economy to be as terrible as possible for Donald Trump #electionstrategy",0
3571,3571.0,stay at home orders,"I'm planning on streaming some overwatch tonight at 6 pm EST on #twitch I'll be posting a link later for you to come and hang out!!
#streamer #overwatch #newbeginnings",0
1597,1597.0,fauci,@realDonaldTrump Now do the studies Fauci did decades ago on this drug showing how well it worked for Coronavirus strains!,1
2034,2034.0,fauci,@RandPaul His judgement has been in question loooong before this! Hell we could go back to the AIDS era.,2
4465,4465.0,school closures,"Stay at home if you have #coronavirus symptoms

Stay at home for7days if you have either:

a high temperature
a new continuous cough

Do not go to a GP surgery, pharmacy or hospital

You do not need to contact 111 to tell them you're staying at home
#Birmingham",0
4451,4451.0,school closures,"Public schools are communist indoctrination camps.

Get your kids out if you can.",0
2294,2294.0,fauci,@realDonaldTrump it’s time to,0
1640,1640.0,fauci,"@realDonaldTrump Lame-o president not talking about how to actually control Covid or his new agenda, hes too busy trying to pat himself on the back with relevant propaganda,his ego is a fragile and inadequate barrier between him and the real world #TrumpLiesAmericansDie #TrumpVirus",1
1116,1116.0,face masks,"If we can't take hydroxy chloroquine bc of of an incredibly small chance of arythmia, then we need to remove ALL Drugs with potential harmful side effects. #COVID19 #coronavirus #lockdownextension",0
3167,3167.0,stay at home orders,"Why is it that important news stories are being brushed under the carpet?
I speak of all the meat processing plants with Covid ""outbreaks""

Be under no illusion these stories will become absolutely relevant by Autumn when everyone is starving
#Plandemic #Covid_19",2
3697,3697.0,stay at home orders,"@ConCaracal The electorate is more desperate to keep their homes and children fed than to keep @CyrilRamaphosa and his @MYANC thugs accountable. Keeping the electorate down keeps the ANC in power. Anger is redirected to the ghosts of the past. Wash, rinse, repeat.",0
2266,2266.0,fauci,"@dubephnx Gyms &amp; bars are murdering their customers and families??! :zany_face:You poor frightened sheep, you need to turn off the news.  Wake up and get yourself some damn common sense!
#FakePandemic #CovidHoax",0
2303,2303.0,fauci,#DrFauci says “no evidence” of transmission of #Coronavirus from household pets to humans. #PressBriefing,0
127,127.0,face masks,"@Glowysoe @OGKBEAR @Dadilicious2 @KingRezizt @WeinreichHolly @realCheeto1 @NicoleNunn20 @ccsllew @AmateurMmo @Pittsburgbitch @leahbake @Duke_of_Phale @Burgh_bitch @cookiem89151957 @TroianoNic @MelindaRenee72 @JTSand138138 @TrumpBear4 @comeundone0 @AndyPadrutt @BResisting @JoeBiden @MeidasTouch @Eiggam5955 @brianlewis3282 @waltsimsjr @onit1977 @jenjones207 @BigPixieKiss @Flyin_Nrs @Peatches66 @Boomer818 @Jeff_resist @babaloo2 @TruthfulReal1ty @BradyBoo75 @AngBonCan @Wikweko @Brentp56 @WilliamFPeters2 @BackNBlack1975 @CapAmerica1111 @BogdanoffElaine @TCRG2012 @YetiEye @100Mohawk @CheyenneNDN @BrahmaGreg @Rob83753057 @RandomFSM The Whitehouse Cowboy is a slow learner, but even he realises that masks slow the spread of Covid. I’d rather listen to medical specialists- WHO, CDC than the quack Immanuel spouting about dream sex with demons causing Covid. Viruses don’t have a political agenda?",1
2219,2219.0,fauci,@realDonaldTrump please HET ROD OF DR WISHY WASY DON’tknow jack! Mr Flip flopper,0
1249,1249.0,face masks,"10 deaths in Spain from coronavirus in the last week and the UK introduces a new 14 day quarantine rule overnight. Zero thought or logic. At best, this is a new level of ineptitude by the UK government",0
230,,fauci,"Fauci recommends shutting down Arizona , Florida , and Texas . #covid19 #trump #fauci #mask HTTPURL",0
689,689.0,face masks,If masks work why are people testing positive?? :thinking_face:,2
1303,1303.0,face masks,@PressSec @WhiteHouse @realDonaldTrump Don forget #Hydroxychloroquine #Zinc #Zithromax,0
2525,2525.0,fauci,"@BeyondBlonde3 If wearing a mask was a national focus from the beginning, instead if politicized, we wouldn't be where we are today. 
But ..you know... truMp.
:rage::face_with_symbols_on_mouth::rage:
#TrumpVirus",0
118,118.0,face masks,"Well, it finally happened. Someone close to me has been diagnosed with #COVID19 
It is absolutely terrifying to watch. Please",1
1552,1552.0,fauci,"Every time @realDonaldTrump @Mike_Pence #DrBirx or #DrFauci say ANYTHING positive re: 
how well US is fighting Wuhan #Coronavirus 
potential vaccines/therapies, 
extraordinarily low mortality rate,
leftists &amp; liberal media launch an assault? 
That's how much they hate America.",1
3004,3004.0,stay at home orders,"@SecretaryCarson @HighlandsAL Because that's what churches do! :latin_cross::thumbs_up_medium-dark_skin_tone::thumbsup::thumbs_up_light_skin_tone:

Thank you, Dr. Carson. This is inspiring in a time when so many are paralyzed by fear. The more coronavirus tests, the better. It gets us that much closer to rebuilding even stronger!

#AmericaWorksTogether #KAG ",2
2536,2536.0,fauci,Over 3.36mil cases of #COVID19 and 135k deaths so far and @realDonaldTrump wants schools open and full of young kids in 2wks he’s crazy.,0
138,,school closures,Framework for reopening schools HTTPURL #Covid_19 #education #future,0
2517,2517.0,fauci,@WhiteHouse @realDonaldTrump Do the schools and parents get to sue the White House when they get sick or die?,0
570,570.0,face masks,"@GovWhitmer, @gretchenwhitmer is expected to stricken her #Mask laws today, hilariously enough, this is what we need. She will keep digging herself deeper, when if she was in the real talks of Michigan, and not in her high tower of exemption. #maskoff",2
4524,4524.0,school closures,"Today 10th March 2020 in Greece all schools closed for 14 days. 
Today in Italy 168 humans died due to #Coronavirus #Covid19 .",0
2340,2340.0,fauci,"@AC360 I support all people and #BlackLivesMatter absolutely. This divorced, not by choice, single white mom does not feel any support.. #singlemom #coronavirus #unemploymentextension #studentdebt",0
2347,2347.0,fauci,"@KarluskaP 7 Apr 2020 Tuesday news briefing #DrBrix at 1:39:25  “Some countries are recording that as a heart issue or a kidney issue and not a COVID-19 death.
“The intent is … if someone dies with COVID-19 we are counting that,”  #DrFauci
Tries to clean.",0
4181,4181.0,school closures,"Why should schools stay closed? None of these kids are social distancing or wearing mask there all on beaches, lake's and hanging out in parking lots in crowd's. They all believe this virus is only older people so let them go to school",2
4082,4082.0,school closures,I support online #school for my children as that is the new normal in the current turbulent times. Don’t try to ruin schools and education,1
2568,2568.0,fauci,"Dear Mr President... nobody likes you

#NobodyLikesTrump #TrumpVirus 
#VoteForOurLives",0
336,336.0,face masks,@SueDeWitt4 @Ann_Isik @GinaEllis4 @Lezlie61 @CorporatePiggie @ricball I don’t understand these people who will not wear a mask :mask:. Inconsiderate fools.,1
2285,2285.0,fauci,"@TheRightMelissa You forgot to use the part of this short clip: "" it could lead to a shortage of masks for the peoole who need it "" Also, as you states this is from 5 months ago!!?? Situations change hence advice changes! DUH:exploding_head:",0
789,789.0,face masks,"@javadisciple @supitsshekinah This is why I don’t wear it. If I was told “we aren’t sure about the total effectiveness, but it will cut down on spread, and we are asking you to make a sacrifice and wear a mask” I’d be all for it. But no one is leveling with others like free adults so",2
2355,2355.0,fauci,"“You know, you can use a scarf.  A scarf is — everybody — a lot of people have scarves, and you can use a scarf...And I — my — my feeling is if people want to do it, there’s certainly no harm to it... It doesn’t have to be a mask.” trump 4/1/20",0
3475,3475.0,stay at home orders,"I WANT TO KNOW what you did/still doing during your free time to occupy yourself during the TrumpVirus. :mask::microbe:
#COVID 
#Quarantine 
#trumpvirus
#coronavirus",0
78,,face masks,Stay home Stay safe #Covid19 HTTPURL,1
591,591.0,face masks,@ChuckCallesto Never not the BS vaccine they are producing. Haven’t had a clue shot in nine years since I got sick after getting one. Guess what have not had the flu in 9 yrs. #FakePandemic,2
3709,3709.0,stay at home orders,"Just now done with my #COVID19 testing 

Throat swab is very easy but that nose swab offfff it tickles :rage::rage:

#GetTested",0
3148,3148.0,stay at home orders,The death rate with #Covid_19 isn't climbing with the rise new cases because Democrat Governors are no longer able to send positive patients to nursing homes. In just a couple weeks we will see that we are no longer in danger. @SteveScalise #NursingHomeSlaughter,2
2288,2288.0,fauci,"@briantylercohen @SpeakerPelosi 141,845 deaths. 3,887,664 cases. Covid growing exponentially. Only 14.4% tested. STILL NO PLAN. 42 million unemployed. US soldiers being murdered by Russia @realdonaldtrump @gop @vp @whitehouse @lindseygrahamsc FAILED AMERICA   #trumpownseverydeath #trumpgenocide",0
2255,2255.0,fauci,@FoxNews @ainsleyearhardt #COVID19  &amp; school.  More kids die from the flu each year.  More kids die at hands of abuse as at home not school.  #OPENAMERICANOW  use context!!!!,0
4475,4475.0,school closures,save schools save teachers,0
2493,2493.0,fauci,@JoelStern7 While wearing a damn mask,0
2048,2048.0,fauci,@atensnut Good thing there is a video of Dr. Anthony Fauci on “Today Show” on Feb. 29 saying there was no need for Americans to change their behavior because of the Coronavirus.,2
2170,2170.0,fauci,"@ShannonBream @FoxNews @foxnewsnight Shannon, why do you and others in the media sound so excited about a vaccine for covid-19 coming soon. Don’t you know that there are many people that do not want it? #BillGates",2
4217,4217.0,school closures,@musicalgal123 @EducateCT There may never be a vaccine - we all have to work,2
2174,2174.0,fauci,I think Gomer Pyle is running the #CDC and the #FDA probably is the manager over #DrFauci which explains why we don’t have a #vaccines yet!?,2
