,premise,text,stance
36,Coronavirus is genetically engineered.,Media surrounding #Corona is doing more harm than the actual virus .,0
37,Coronavirus is genetically engineered.,#Coronavirus Fear and trauma based mind control on a global scale is a constant threat .,0
38,Coronavirus is genetically engineered.,@USER #coronavirus definitely looks like this .,0
39,Coronavirus is genetically engineered.,Does #coronavirus respond to tax cuts ?,0
40,Coronavirus is genetically engineered.,Be Safe from #coronavirus infection 2,0
41,Coronavirus is genetically engineered.,No one dies from #covid_19 .,0
42,Coronavirus is genetically engineered.,@USER #coronavirus will change us all .,0
43,Coronavirus is genetically engineered.,I am convinced #Coronavirus altered the #DNA of most of the globe and made almost everyone completely insane .,0
44,Coronavirus is genetically engineered.,Seems like #covid19 is the biggest fraud in history .,0
45,Coronavirus is genetically engineered.,How many Missionaries have #Coronavirus ?,0
46,Coronavirus is genetically engineered.,Democrats and the Chinese communist government colluded to create the #coronavirus to bring down Trump . Prove us wrong .,0
47,Coronavirus is genetically engineered.,Is anyone else concerned that we are not being told the whole truth about #coronavirus in the usa ?,0
48,Coronavirus is genetically engineered.,"@USER No , rather , it appears to be a race-specific bioweapon . Early Chinese propaganda was that #coronavirus kills Asians most and Blacks are probably immune . Now we know that the exact opposite is true .",0
49,Coronavirus is genetically engineered.,Propagated epidemics . A live example #COVID19 .,0
50,Fennel tea cures coronavirus.,so steam bath 4 times day kills #coronavirus ?,0
51,Fennel tea cures coronavirus.,@USER #coronavirus cures the FLU !,0
52,Fennel tea cures coronavirus.,The #coronavirus was a scam .,0
53,Fennel tea cures coronavirus.,Be Safe from #coronavirus infection .,0
54,Fennel tea cures coronavirus.,Kill #coronavirus on surfaces with STEAM . Simple . Alcohol wipes only do so much .,0
55,Fennel tea cures coronavirus.,"@USER The #coronavirus kills liars , too .",0
56,Fennel tea cures coronavirus.,Some of yall using this #coronavirus for clout .,0
57,Fennel tea cures coronavirus.,JK the studio is closed indefinitely for #coronavirus .,0
58,Fennel tea cures coronavirus.,The #coronavirus is an act of war !,0
59,Fennel tea cures coronavirus.,#Coronavirus of course we do .,0
60,Fennel tea cures coronavirus.,Lost my taste #coronavirus ?,0
61,Fennel tea cures coronavirus.,Now #coronavirus is a racial issue . Fuck these ppl .,0
62,Fennel tea cures coronavirus.,Does G-d have the #coronavirus antibody ?,0
63,Fennel tea cures coronavirus.,What are the symptoms of #CoronaVirus ?,0
64,Fennel tea cures coronavirus.,how much money is the healthcare industry making off of #coronavirus ?,0
65,Fennel tea cures coronavirus.,The person that died of coronavirus was probably killed by Hillary Clinton ! #Coronavirus is a hoax !,0
66,Fennel tea cures coronavirus.,"There is no cure for the #Coronavirus , but using soap and water to wash your hands kills it ? Am i missing something ?",0
67,Fennel tea cures coronavirus.,I want to know how people are recovering from #coronavirus . What is the treatment protocol ?,0
68,Fennel tea cures coronavirus.,How many Missionaries have #Coronavirus ?,0
69,Fennel tea cures coronavirus.,@USER Criminals are immune to #coronavirus outside of jail .,0
70,Fennel tea cures coronavirus.,#Covid_19 is fake . Shut . Up .,0
71,Fennel tea cures coronavirus.,"I have some good #news , #hydroxychloriquine can cure the #coronavirus . But , the problem is that it 's not tested .",0
72,Fennel tea cures coronavirus.,"#Coronavirus It 's an infection , it needs a prescription !",0
73,Fennel tea cures coronavirus.,#coronavirus lockdown continues !,0
74,Fennel tea cures coronavirus.,@USER But will it stop #Coronavirus ?,0
75,Fennel tea cures coronavirus.,I really dont care if Ted Cruz gets the #coronavirus . I just dont care .,0
76,Fennel tea cures coronavirus.,Democrats and the Chinese communist government colluded to create the #coronavirus to bring down Trump . Prove us wrong .,0
77,Fennel tea cures coronavirus.,I am more concerned about the Diabetes epidemic than #coronavirus .,0
78,Fennel tea cures coronavirus.,#Coronavirus is a black swan ...,0
79,Fennel tea cures coronavirus.,#Coronavirus can some one tell me how it spreaded .,0
80,Fennel tea cures coronavirus.,No one dies from #covid_19 .,0
81,Fennel tea cures coronavirus.,The #coronavirus bamboozled us #All .,0
82,Fennel tea cures coronavirus.,Expose #CORONAVIRUS do not hide it destroys every one .,0
83,Fennel tea cures coronavirus.,Can you get the #coronavirus #COVIDー19 again once you recover ?,0
84,Fennel tea cures coronavirus.,First report of #coronavirus in Bhutan .,0
85,Fennel tea cures coronavirus.,#Coronavirus lol my kid is craking 90s,0
86,Fennel tea cures coronavirus.,There was no #coronavirus when Obama was president . Just food for thought ...,0
87,Fennel tea cures coronavirus.,The dark forces of the #coronavirus will not win while I 'm on campus .,0
88,Fennel tea cures coronavirus.,Self-promotion in the age of #coronavirus . Discuss .,0
89,Fennel tea cures coronavirus.,@USER :folded_hands: :medium_skin_tone: praying a cure / vaccine for #Coronavirus #COVID19 will be made soon .,0
90,Fennel tea cures coronavirus.,Which administration has handled #coronavirus the best .,0
91,Fennel tea cures coronavirus.,Be Safe from #coronavirus infection 2,0
92,Fennel tea cures coronavirus.,"#CoronaVirusUpdate Rotini is the shittiest pasta . There , I said it .",0
93,Fennel tea cures coronavirus.,@USER This guy could fix #coronavirus !,0
94,Fennel tea cures coronavirus.,#coronavirus Please Chinese stop eating everything ! !,0
95,Fennel tea cures coronavirus.,@USER Apparently she dies of #Coronavirus next weekend .,0
96,Fennel tea cures coronavirus.,@USER Probably more important than not spreading #CoronaVirus .,0
97,Fennel tea cures coronavirus.,Does #coronavirus respond to tax cuts ?,0
98,Fennel tea cures coronavirus.,This crazed reaction to the #coronavirus is categorically moronic .,0
99,Fennel tea cures coronavirus.,Wake me up when #coronavirus ends .,0
100,Holy communion cannot be the cause of the spread of coronavirus,God help us . #Coronavirus,0
101,Holy communion cannot be the cause of the spread of coronavirus,How can a paper thin mask protect you from the #coronavirus,0
102,Holy communion cannot be the cause of the spread of coronavirus,Huge thank you to officials in the UAE who are taking the spread of the coronavirus seriously . #CoronaOutbreak,0
103,Holy communion cannot be the cause of the spread of coronavirus,Isolation is key . #Coronavirus,0
104,Holy communion cannot be the cause of the spread of coronavirus,This is a demonstration of how he would handle containing the spread of the #CoronaVirus HTTPURL,0
105,Holy communion cannot be the cause of the spread of coronavirus,I hope the #coronavirus can not be spread by mosquitoes . :folded_hands:,0
106,Holy communion cannot be the cause of the spread of coronavirus,Control the spread #coronavirus HTTPURL,0
107,Holy communion cannot be the cause of the spread of coronavirus,Spring break will hasten the spread of #coronavirus What will universities do to protect returning students ? #COVID19,0
108,Holy communion cannot be the cause of the spread of coronavirus,Thank you Catholic Diocese of Ondo #coronavirus #staysafe #WashYourHands HTTPURL,0
109,Holy communion cannot be the cause of the spread of coronavirus,Baptism in the era of #Coronavirus HTTPURL,0
110,Holy communion cannot be the cause of the spread of coronavirus,So scary #Coronavirus,2
111,Holy communion cannot be the cause of the spread of coronavirus,Mosques and churches are a very strong factor in the spread of covid 19 I think reducing the number of visitors is better . Because covid 19 is not treated yet #COVID19,0
112,Holy communion cannot be the cause of the spread of coronavirus,The #coronavirus is a form of biological warfare from China,0
113,Holy communion cannot be the cause of the spread of coronavirus,What a waste #coronavirus,2
114,Holy communion cannot be the cause of the spread of coronavirus,#Save the #people #infected with the #coronavirus,0
115,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus,0
116,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus,0
117,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus,0
118,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus,0
119,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus,0
120,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus,0
121,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus,0
122,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus,0
123,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus,0
124,Holy communion cannot be the cause of the spread of coronavirus,"Together , we can prevent the spread of Corona Virus . Safety is key #COVID19 HTTPURL",0
125,Holy communion cannot be the cause of the spread of coronavirus,Precaution and not panic will help us stop the spread of #coronavirus Stay at home . Be kind and support one another . HTTPURL,0
126,Holy communion cannot be the cause of the spread of coronavirus,What a time to be alive for the time being . #CoronaVirusUpdate,0
127,Holy communion cannot be the cause of the spread of coronavirus,I found this link to be a reliable source to track the spread of #coronavirus HTTPURL,0
128,Holy communion cannot be the cause of the spread of coronavirus,At least the horses are running #coronavirus,0
129,Holy communion cannot be the cause of the spread of coronavirus,"@USER So , even the #Holy Water can't cure #CoronaVirus ! ! ! :rolling_on_the_floor_laughing: :face_with_tears_of_joy: :rolling_on_the_floor_laughing:",0
130,Holy communion cannot be the cause of the spread of coronavirus,Confession in the time of #COVID19 . HTTPURL,0
131,Holy communion cannot be the cause of the spread of coronavirus,What if #Coronabeer could kill the #Coronavirus,0
132,Holy communion cannot be the cause of the spread of coronavirus,Why are the schools still open in Australia #Coronavirus,0
133,Holy communion cannot be the cause of the spread of coronavirus,The level of cleanliness in the world right now is unprescedented . Thanks to #coronavirus,0
134,Holy communion cannot be the cause of the spread of coronavirus, Whatever it takes  #coronavirus,0
135,Holy communion cannot be the cause of the spread of coronavirus,We Will Survive #COVID19 #coronavirus,0
136,Holy communion cannot be the cause of the spread of coronavirus,We believe this decision is in the best interest of the esteemed members of First Baptist Church and their loved ones and it is a necessary step in curbing the spread of the Coronavirus which has become a global scourge . #COVID19NIGERIA #CoronaVirusUpdate,0
137,Holy communion cannot be the cause of the spread of coronavirus,This can't be good #Coronavirus,0
138,Holy communion cannot be the cause of the spread of coronavirus,Nobody cares #Coronavirus,2
139,Holy communion cannot be the cause of the spread of coronavirus,The Coronavirus is just the flu in black air forces #coronavirus,0
140,Holy communion cannot be the cause of the spread of coronavirus,Now Is The Time For Everyone To Pray And Cry Out To God For A Cure And An End To The #Coronavirus ! Pray The #Rosary ! HTTPURL,0
141,Holy communion cannot be the cause of the spread of coronavirus,Stay home #Coronavirus,0
142,Holy communion cannot be the cause of the spread of coronavirus,HTTPURL The #Australian Government needs to learn from the #Koreans how to stop the spread of #COVID19 #CORONAVIRUS,0
143,Holy communion cannot be the cause of the spread of coronavirus,"Compare the costs of a global 2 - week shutdown versus the gradual , inexorable spread of the virus . #coronavirus",0
144,Holy communion cannot be the cause of the spread of coronavirus,The importance of hygiene in schools and homes can not be overemphasized as a preventative measure against the outbreak of Coronavirus . Coronavirus Prevention Tips #COVID19 #CoronaVirusNigeria #CoronaVirusUpdate HTTPURL,0
145,Holy communion cannot be the cause of the spread of coronavirus,While there is an increase in number of new cases of #Coronavirus ( COVID - 19 ) Japanese authorities are encouraging people to stay at home to prevent the spread of the Virus HTTPURL,0
146,Holy communion cannot be the cause of the spread of coronavirus,The reality of the current situation #Covid_19 #coronavirus HTTPURL,0
147,Holy communion cannot be the cause of the spread of coronavirus,The middle class is going to be in debt now and will be in debt post the #CoronaVirus,0
148,Holy communion cannot be the cause of the spread of coronavirus,The heat in Nigeria is enough to kill coronavirus #COVID19Nigeria #CoronaOutbreak,0
149,Holy communion cannot be the cause of the spread of coronavirus,We will beat this #Coronavirus and the #CoronavirusOutbreak,0
150,Africans are more resistant to coronavirus.,HTTPURL #Africa has been spared so far from #coronavirus . Why ?,0
151,Africans are more resistant to coronavirus.,Be Safe from #coronavirus infection .,0
152,Africans are more resistant to coronavirus.,@USER I think the vaccinated people can be more susceptible to #coronavirus .,0
153,Africans are more resistant to coronavirus.,"This #coronavirus season is an opportunity for Africa to create homegrown solutions , especially in manufacturing .",0
154,Africans are more resistant to coronavirus.,What are the symptoms of #CoronaVirus ?,0
155,Africans are more resistant to coronavirus.,@USER Criminals are immune to #coronavirus outside of jail .,0
156,Africans are more resistant to coronavirus.,#Coronavirus of course we do .,0
157,Africans are more resistant to coronavirus.,Could the #coronavirus or #covid19 answer be in #SubSaharanAfrica Plasma ?,0
158,Africans are more resistant to coronavirus.,I want to know how people are recovering from #coronavirus . What is the treatment protocol ?,0
159,Africans are more resistant to coronavirus.,Some of yall using this #coronavirus for clout .,0
160,Africans are more resistant to coronavirus.,I am more concerned about the Diabetes epidemic than #coronavirus .,0
161,Africans are more resistant to coronavirus.,3rd #coronavirus case confirmed in Egypt bringing total in Africa to 23 . @USER,0
162,Africans are more resistant to coronavirus.,@USER What is it specifically about diabetes that makes diabetics more susceptible to #coronavirus ?,0
163,Africans are more resistant to coronavirus.,Be Safe from #coronavirus infection 2,0
164,Africans are more resistant to coronavirus.,First report of #coronavirus in Bhutan .,0
165,Africans are more resistant to coronavirus.,#Coronavirus The people of the world are being lied to by governments regarding the severity and spread of this virus to save the world economy .,0
166,Africans are more resistant to coronavirus.,@USER #fakenews poisonous lies are more deadly than #Coronavirus .,0
167,Africans are more resistant to coronavirus.,"#COVID19 To the best of my knowledge , no single black yet to be reported all over the world .",0
168,Africans are more resistant to coronavirus.,#Coronavirus can some one tell me how it spreaded .,0
169,Africans are more resistant to coronavirus.,"@USER He is wasteful , in Africa we are in dire need funds to fight #coronavirus . After three weeks there will be carnage in Africa .",0
170,Africans are more resistant to coronavirus.,"When all of this #coronavirus crisis is over , Health workers might need serious therapy . Sending out prayers to them , they are the real heroes .",0
171,Africans are more resistant to coronavirus.,@USER Stupid ... you 're just jealous because the Chinese are the only ones that have effectively tackled #Coronavirus with success .,0
172,Africans are more resistant to coronavirus.,#Coronavirus is a black swan ...,0
173,Africans are more resistant to coronavirus.,i strongly believe that Nigeria will come out as a better country after #covid19 .,0
174,Africans are more resistant to coronavirus.,This crazed reaction to the #coronavirus is categorically moronic .,0
175,Africans are more resistant to coronavirus.,"If you thought #CoronaVirusUpdate is strange , this might explain it .",0
176,Africans are more resistant to coronavirus.,Now #coronavirus is a racial issue . Fuck these ppl .,0
177,Africans are more resistant to coronavirus.,Can you get the #coronavirus #COVIDー19 again once you recover ?,0
178,Africans are more resistant to coronavirus.,@USER #coronavirus will change us all .,0
179,Africans are more resistant to coronavirus.,Why are the states that have the most #coronavirus victims sanctuary states ?,0
180,Africans are more resistant to coronavirus.,#coronavirus lockdown continues !,0
181,Africans are more resistant to coronavirus.,The #coronavirus is an act of war !,0
182,Africans are more resistant to coronavirus.,How many Missionaries have #Coronavirus ?,0
183,Africans are more resistant to coronavirus.,"If #COVID19 had started in Africa , our leaders should have abandoned us here and traveled abroad ... @USER . Na lie ?",0
184,Africans are more resistant to coronavirus.,And now everyone 's in UK take the #coronavirus very seriously .,0
185,Africans are more resistant to coronavirus.,"@USER No , rather , it appears to be a race-specific bioweapon . Early Chinese propaganda was that #coronavirus kills Asians most and Blacks are probably immune . Now we know that the exact opposite is true .",0
186,Africans are more resistant to coronavirus.,It 's been reported that #Covid19 is also very contagious . But it seems like many of us are yet to accept that we 're all susceptible to it .,0
187,Africans are more resistant to coronavirus.,Y'all wait as soon as #africa and it 's children are hit by this #Covid_19 or #CoronavirusPandemic or #coronavirus it will be framed as an #african problem . Wait and see .,0
188,Africans are more resistant to coronavirus.,"Out of #G8 countries , Japan is least affected by #CoronaVirus , followed by Canada .",0
189,Africans are more resistant to coronavirus.,I dont think we Indians are taking #coronavirus as seriously as we should . Be prepared to face the full force of the deadly COVID 19 in the coming days .,0
190,Africans are more resistant to coronavirus.,Does #coronavirus respond to tax cuts ?,0
191,Africans are more resistant to coronavirus.,"December 2019 saw an outbreak of the #Coronavirus hailing from Wuhan , China . It has since spread to other regions of the world .",0
192,Africans are more resistant to coronavirus.,"In your opinion , is the potential threat from the #coronavirus being exaggerated ?",0
193,Africans are more resistant to coronavirus.,"#coronavirus At last less fuel , less meetings and more benefits for the environment .",0
194,Africans are more resistant to coronavirus.,Good morning to everyone except people who are blaming chinese people for the #coronavirus and judging them for their cuisine .,0
195,Africans are more resistant to coronavirus.,"Good afternoon to everyone except #coronavirus , phuck u coronavirus !",0
196,Africans are more resistant to coronavirus.,The #coronavirus was a scam .,0
197,Africans are more resistant to coronavirus.,I hope the #COVID19 cure from #Madagascar works as they say . And that the African continents can trust in it and leverage it to eradicate the coronavirus . I 'd trust it more than any other from the abroad .,0
198,Africans are more resistant to coronavirus.,Media surrounding #Corona is doing more harm than the actual virus .,0
199,Africans are more resistant to coronavirus.,There was no #coronavirus when Obama was president . Just food for thought ...,0
200,Vitamin C can prevent coronavirus circulation.,Be Safe from #coronavirus infection .,0
201,Vitamin C can prevent coronavirus circulation.,Be Safe from #coronavirus infection 2,0
202,Vitamin C can prevent coronavirus circulation.,What are the symptoms of #CoronaVirus ?,0
203,Vitamin C can prevent coronavirus circulation.,so steam bath 4 times day kills #coronavirus ?,0
204,Vitamin C can prevent coronavirus circulation.,Kill #coronavirus on surfaces with STEAM . Simple . Alcohol wipes only do so much .,0
205,Vitamin C can prevent coronavirus circulation.,Expose #CORONAVIRUS do not hide it destroys every one .,0
206,Vitamin C can prevent coronavirus circulation.,@USER I think the vaccinated people can be more susceptible to #coronavirus .,0
207,Vitamin C can prevent coronavirus circulation.,#Coronavirus possible treatment using Vitamin C #Qanon HTTPURL,0
208,Vitamin C can prevent coronavirus circulation.,#Coronavirus can some one tell me how it spreaded .,0
209,Vitamin C can prevent coronavirus circulation.,#Coronavirus @USER Thank you for informing us promptly .,0
210,Vitamin C can prevent coronavirus circulation.,@USER Can it kill #fluvirus such as #coronavirus #H1N1 etc ?,0
211,Vitamin C can prevent coronavirus circulation.,@USER But will it stop #Coronavirus ?,0
212,Vitamin C can prevent coronavirus circulation.,Dr . Saul REAL News how vitamin C fights coronavirus SARS HTTPURL #covid-19 #health #Andrew #Canada,0
213,Vitamin C can prevent coronavirus circulation.,Can you get the #coronavirus #COVIDー19 again once you recover ?,0
214,Vitamin C can prevent coronavirus circulation.,@USER Is this exclusively to prevent #COVID19 or for treatment ?,0
215,Vitamin C can prevent coronavirus circulation.,@USER #coronavirus will change us all .,0
216,Vitamin C can prevent coronavirus circulation.,"This article highlights the important role played by Vitamin D in fighting some viral infections . Also , it shows how to compensate for poor Vitamin D receptor . COVID - 19 #coronavirus can most likely be fought by Vitamin D #vitaminD HTTPURL HTTPURL",0
217,Vitamin C can prevent coronavirus circulation.,@USER Thank you for you article that let people know what happen about #coronavirus .,0
218,Vitamin C can prevent coronavirus circulation.,I am more concerned about the Diabetes epidemic than #coronavirus .,0
219,Vitamin C can prevent coronavirus circulation.,"#Coronavirus It 's an infection , it needs a prescription !",0
220,Vitamin C can prevent coronavirus circulation.,First report of #coronavirus in Bhutan .,0
221,Vitamin C can prevent coronavirus circulation.,How many Missionaries have #Coronavirus ?,0
222,Vitamin C can prevent coronavirus circulation.,@USER Can you have mild #coronavirus ?,0
223,Vitamin C can prevent coronavirus circulation.,@USER Can you wipe #coronavirus away with disinfectant wipes ?,0
224,Vitamin C can prevent coronavirus circulation.,I want to know how people are recovering from #coronavirus . What is the treatment protocol ?,0
225,Vitamin C can prevent coronavirus circulation.,@USER Instead learn from #China how to stop the spread of #coronavirus .,0
226,Vitamin C can prevent coronavirus circulation.,"@USER Train the dogs to detect the #coronavirus , as well .",0
227,Vitamin C can prevent coronavirus circulation.,#Coronavirus of course we do .,0
228,Vitamin C can prevent coronavirus circulation.,#coronavirus or shopping ?,0
229,Vitamin C can prevent coronavirus circulation.,@USER #Coronavirus comes from #GlobalWarming ?,0
230,Vitamin C can prevent coronavirus circulation.,Does G-d have the #coronavirus antibody ?,0
231,Vitamin C can prevent coronavirus circulation.,"#coronavirus makes information important . European Center for Disease Prevention and Control directions , a must read for all .",0
232,Vitamin C can prevent coronavirus circulation.,@USER #Coronavirus is now at a point where many people do not fear it anymore .,0
233,Vitamin C can prevent coronavirus circulation.,And now everyone 's in UK take the #coronavirus very seriously .,0
234,Vitamin C can prevent coronavirus circulation.,@USER ... about #coronavirus ? ?,0
235,Vitamin C can prevent coronavirus circulation.,@USER Probably more important than not spreading #CoronaVirus .,0
236,Vitamin C can prevent coronavirus circulation.,"@USER They say ,  viruses which can kill bacteria  , but #coronavirus is a virus . So HOW THE HELL the water can help end Corona VIRUS . does that make no sense or I 'm missing something there ?",0
237,Vitamin C can prevent coronavirus circulation.,@USER Criminals are immune to #coronavirus outside of jail .,0
238,Vitamin C can prevent coronavirus circulation.,@USER Can you kill #coronavirus ? ?,0
239,Vitamin C can prevent coronavirus circulation.,@USER #coronavirus might just solve the problem .,0
240,Vitamin C can prevent coronavirus circulation.,"If mega doses of vitamin c might save you from #coronavirus , as some report , would you buy some as insurance and learn more about it ? #covid #covid19",0
241,Vitamin C can prevent coronavirus circulation.,#coronavirus lockdown continues !,0
242,Vitamin C can prevent coronavirus circulation.,@USER #coronavirus definitely looks like this .,0
243,Vitamin C can prevent coronavirus circulation.,Does #coronavirus respond to tax cuts ?,0
244,Vitamin C can prevent coronavirus circulation.,Self-promotion in the age of #coronavirus . Discuss .,0
245,Vitamin C can prevent coronavirus circulation.,The #coronavirus is an act of war !,0
246,Vitamin C can prevent coronavirus circulation.,Taxis drivers can not work now due to #coronavirus . But autonomous car will get this out someday .,0
247,Vitamin C can prevent coronavirus circulation.,"mortality rate = worse case global deaths from #coronavirus is 3,276,000 .",0
248,Vitamin C can prevent coronavirus circulation.,"How long can #Coronavirus live in water ? If you @USER do n't have the answer right now , die of shame .",0
249,Vitamin C can prevent coronavirus circulation.,@USER Summer will still have #coronavirus . Is there a way to work from home ?,0
250,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",Funeral parlour report fans fears over #Wuhan #coronavirus death toll . Wanting to know how many cremations were carried out in Wuhan ? Wait till at least June . #Covid19 HTTPURL via @USER,0
251,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER CCP stoped travels from #wuhan to Peking and Shanghai but allowed them to continue overseas . Why ?,0
252,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","In Wuhan , a city of 11 million humans , in the cycle of life ... children are born , and people die . It is a sure thing that Wuhan residents died from causes other than Covid - 19 , including old age . How many ? . #COVIDー19 #Wuhan HTTPURL",0
253,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",It 's being reported that China claimed political dissidents had #coronavirus WuhanFlu and burned them up in incinerators . I believe that after the #TiananmenSquare massacre .,0
254,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",7500 human beings died from #coronavirus in the United States last week . Find a daily death graph for the United States using your favorite internet search and find out .,0
255,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER Maybe their Level 4 biolab in #Wuhan needs to go .,0
256,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER The deaths in March for #Covid19 are less than Deaths from B strain flu in December 2019 .,0
257,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USER Agree . Unfortunately #Wuhan , #China is getting worse . #HongKong is getting more like China . Thanks to the #CCP , one is safe . No one can have a peaceful life . We must end the #CCP .",0
258,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USER #Wuhan with a population of 12 Million had 4,000 #ventilators in January 2020 . Number increased to over 10,000 by end of February . #UK with population of 65 Million had 5,000 #ventilators in January 2020 . This number has barely increased by mid-March .",0
259,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","As on 2019 , there were 2,700,000 TB patients in India . That is still nearly 26 times the #coronavirus cases in the country .",0
260,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","#Trump administration should have firmly rejected China #XiJinping lockdown , isolation #Wuhan policy from day one .",0
261,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","December 2019 saw an outbreak of the #Coronavirus hailing from Wuhan , China . It has since spread to other regions of the world .",0
262,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER #WuhanCoronaVirus is your downfall and you will be held to account for your lies and malicious actions .,0
263,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",#Covid-19 is actually #Wuhan-400 China must be punished .,0
264,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USER #WuhanCoronavirus is the most accurate name for this ! #COVID19 = CCP Output Virus In Dec 19 Thank you , @USER !",0
265,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",This was in #wuhan by the way . This is an incredible story and it can help save lives right now . Literally today .,0
266,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER my gut feeling is it 's too much of a coincidence that it originated in #Wuhan where the #wuhanlab exists .,0
267,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","100,047 American citizens have died from #coronavirus in less than 3 months .",0
268,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Breaking News For first time since coronavirus outbreak , Wuhan province in China reports ZERO new cases of #coronavirus .",0
