,Unnamed: 0.1,Unnamed: 0,premise,text,stance
257,,,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USER Agree . Unfortunately #Wuhan , #China is getting worse . #HongKong is getting more like China . Thanks to the #CCP , one is safe . No one can have a peaceful life . We must end the #CCP .",0
304,304.0,304.0,Coronavirus is genetically engineered.,@USERNAME He’s saying the Democrats using Coronavirus as a weapon is a hoax. Not the disease but the Dems using it as a weapon.,0
1124,1124.0,1124.0,Coronavirus is caused by 5G.,"In Daegu, a 45-day-old newborn baby has 
a new coronavirus infection (Corona 19).
https://t.co/HdRt4OS19t South Korea",0
783,,,Coronavirus can only survive in cold temperatures.,"There is no cure for the #Coronavirus , but using soap and water to wash your hands kills it ? Am i missing something ?",0
1307,1307.0,1307.0,Vitamin C can prevent coronavirus circulation.,"@USERNAME Please get the FDA to approve ambroxol and make it available immediately. The German makers donated it to China because it can lessen the effect of coronavirus.

https://t.co/vq9KswkVng",0
648,648.0,648.0,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USERNAME @USERNAME Infection rate is much smaller! Wuhan has 11M population, only 80k are infected, 40k fully recovered, 2500 deaths in the worst city for air quality.  Media spreading panic, not facts",0
160,,,Africans are more resistant to coronavirus.,I am more concerned about the Diabetes epidemic than #coronavirus .,0
306,,,The lifetime of SARS-CoV-2 is only 12 hours.,:newspaper: The SARS-CoV - 2 virus endures for days on plastic or metal but disintegrates soon after landing on copper surfaces . Here 's why : #Covid #Copper #metal HTTPURL,0
198,198.0,198.0,Hand sanitiser sold commercially does not destroy the coronavirus.,A UC Davis student who had been quarantined and tested for COVID-19 does not have the coronavirus.,0
1975,1975.0,1975.0,The lifetime of SARS-CoV-2 is only 12 hours.,@USERNAME @USERNAME &amp; I wonder if the virus in China SARS Cov 2 is truly the same genome as the one in America NCov-19?  Why is the name different too?,0
677,677.0,677.0,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USERNAME @USERNAME @USERNAME I hope @USERNAME don’t hypnotized the world &amp; singing the same tone w/ #China!The public need facts in order to contained this outbreaks not False information! Look at what happening around us! 36,000 ppl recuperate in🇨🇳?How come?Any definitive proof? Is so why Wuhan still close city?",0
582,582.0,582.0,A person can tell if they have coronavirus or not simply by holding their breath.,"Shouldn't we be trying to identify anyone who is showing symptoms of the #coronavirus and finding out for sure if they are carrying it? I'm sure I don't have it but it sure seems like it should be easier to get a confirmation of whether you have it, or the flu, or whatever.",0
914,914.0,914.0,Avocado and mint tea cures coronavirus.,"Stocked up on beans, rice, canned meats, and medicine this weekend. This whole #coronavirus #covid thing feels different. Not alarmist different, but different in a really inconvenient way. Worried about hysteria, shutdowns, work loss, and cabin fever.",0
437,,,Hand sanitiser sold commercially does not destroy the coronavirus.,Please do not drink disinfectant . It wo n't cure #coronavirus and it might possibly kill you . This seems obvious .,0
1017,1017.0,1017.0,Coronavirus can only survive in cold temperatures.,"Coronavirus spreads to Ecuador and the Republic of Ireland, both from passengers who flew commercial airlines – https://t.co/1V92tmh9N3 https://t.co/yDAtfkdKMj",0
1024,1024.0,1024.0,We're very close to a vaccine.,The coronavirus is advancing quickly — and so is Novavax's attempt to stop it. But it won't happen overnight. Here's the latest on what the Gaithersburg biotech is doing to develop a new vaccine. https://t.co/JCwbscxcJA,0
1833,1833.0,1833.0,A person can tell if they have coronavirus or not simply by holding their breath.,@USERNAME @USERNAME Why would you kiss that flag that could have been handled/touched by someone who has the coronavirus??  Lots of people are infected but haven't shown any symptoms yet or they have a cough &amp; think it's a cold.,0
269,,,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","The US has hit the tragic milestone of 50,000 #COVID19 deaths . Given that there have been less that 200,000 deaths worldwide . We own more than one-fourth of all those deaths . ! ! So this is America first ?",0
1769,1769.0,1769.0,Vitamin C cures coronavirus.,"Don’t take elderberries to prevent getting coronavirus. Elderberries can cause a cytokine storm, something any coronavirus causes already. Maintain healthy levels of vitamin D (magnesium aids absorbtion) and C (ascorbic acid) to help against infection and length of a virus",0
1521,1521.0,1521.0,Holy communion cannot be the cause of the spread of coronavirus,“We consider this holy shrine to be a place of healing. That means people should come here to heal from spiritual and physical diseases.” https://t.co/v6uhgyIem3,0
714,,,Vitamin C cures coronavirus.,#coronavirus lockdown continues !,0
686,686.0,686.0,Coronavirus is caused by 5G.,"The novel coronavirus pneumonia in the United States and Japan is very serious. Neither government has detected or set the high standards of detection, causing a very small number of false infections. In fact, the number of infected persons in two countries is very, very high.",0
643,,,SARS-CoV-2 can survive for weeks on surfaces.,@USER Novel antibody test for SARS-CoV - 2 HTTPURL @USER #Angiotensin #ACE2 #Antibodies #Assay #Coronavirus #COVID19 #SARSCoV2,0
328,,,The lifetime of SARS-CoV-2 is only 12 hours.,LIVE NOW : What behavioral and environmental factors determine personal exposure to SARS-Cov - 2 ? Watch the workshop in progress : HTTPURL #EnviroHealthMatters #Covid19 HTTPURL,0
345,345.0,345.0,Coronavirus is caused by 5G.,Coronavirus latest: 8th case confirmed in B.C. in Vancouver Coastal Health region https://t.co/cJ3vXfd9Qz #COVID19 #BC,0
514,514.0,514.0,Hand sanitiser sold commercially does not destroy the coronavirus.,"Army soldiers wearing protective suits spray disinfectant to prevent the spread of the new coronavirus at the Dongdaegu train station in Daegu, South Korea, on Saturday.
📷Ap/Rss
#corona #outbreak #trainstation #myRepublica https://t.co/4cbp8tGMrk",0
384,,,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"If people post misinformation about #COVID19 trying to downplay the severity of the pandemic , you have a civic duty to call them on their bullshit and respond with actual facts and numbers .",0
712,712.0,712.0,Coronavirus is genetically engineered.,"@USERNAME Pneumonia kills 50,000 people a year. Coronavirus is a cold.",0
13,,,Coronavirus is genetically engineered.,I am more concerned about the Diabetes epidemic than #coronavirus .,0
166,,,Africans are more resistant to coronavirus.,@USER #fakenews poisonous lies are more deadly than #Coronavirus .,0
1986,1986.0,1986.0,Vitamin C cures coronavirus.,"I consume, in order of importance: Abraham Hicks tenets, Organika bone broth powder, UVB light on legs not soap-washed for 48 hours to extract D3, B12, + food mentioned in a 600-year old Chinese med book, ""Worth 1,000 Times More Than Gold"", alkaline/organic food/water +a few more https://t.co/JxhyLkZWDD",0
698,698.0,698.0,Coronavirus can only survive in cold temperatures.,How long can coronavirus live on surfaces? https://t.co/W4W8XbgOku,0
1414,1414.0,1414.0,A person can tell if they have coronavirus or not simply by holding their breath.,"CDC says it has NO IDEA if pregnant women are more susceptible to #cornonavirus, or if they are at greater risk for 
severe illness or death.

Also no idea if an infected mother can transmit the infection to the fetus.

https://t.co/nN2OIaknDA",0
1582,1582.0,1582.0,Coronavirus is caused by 5G.,"Yeah Coronavirus is a 1% fatality rate. Yeah 1% of USA is 3m. But take China's pop (1.286b), and overestimate at 80k cases. That's ~6% infected pop. 6% of US: ~19.65m. 1% of that is  ~200k. 

Which is still a lot, but stop telling people that 3mil Americans are going to die.",0
1277,1277.0,1277.0,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Conspiracy Theory or Coincidence??

A book made in 1981 already said something about the deadly Coronavirus.

And in the past 3 days, other countries are reporting more cases than China. The Lord is good 🙌.
#CoronaVirusUpdate https://t.co/w4l0HvlVY8",0
1505,1505.0,1505.0,Coronavirus is caused by 5G.,"COVID-19 CORONAVIRUS 
/ STATUS OF COVID-19 OUTBREAK IN USA 
/ CASE IN WASHINGTON STATE, USA 
/ COVID-19 INTRA-USA SPREAD?: https://t.co/uvp8Gd1b5F",0
599,,,We're very close to a vaccine.,"Whatever you may think of #COVID19 , let 's all take a moment to appreciate those who are putting their health on the line to test the #vaccine .",0
1739,1739.0,1739.0,Coronavirus is caused by 5G.,The actual source of Coronavirus https://t.co/5BUAGkZZvM,0
819,819.0,819.0,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Claim: non-Muslim Chinese perform a Friday prayer due to #COVID19 outbreak. 
Reality: Video shows an Eid prayer in Yiwu, a Chinese city that attracts Muslim business people from around the world, in June 2019.
https://t.co/HvmOD2P2Iw
Indonesian version: 
https://t.co/Nnzghrswjs",0
309,,,The lifetime of SARS-CoV-2 is only 12 hours.,"SARS-CoV - 2 droplets travel further and last longer than thought , and even more in humid air HTTPURL @USER #Coronavirus #Pandemic #Tuberculosis #Virus #COVID19 #SARSCoV2 HTTPURL",0
241,241.0,241.0,Hand sanitiser sold commercially does not destroy the coronavirus.,Does hand sanitizer work on the #coronavirus??,0
1468,1468.0,1468.0,Coronavirus is genetically engineered.,"@USERNAME @USERNAME Nanos meeting in Fl needs to be cancelled or postponed.  On Nanos web-site, there is no word about the outbreak in Iran and emergency status in some states in the US.  The Covid-19 danger should not be minimalized ; will the presentations be made with masks on face ?",0
1060,1060.0,1060.0,Coronavirus is genetically engineered.,@USERNAME Coronavirus is common in dogs. Canine Coronavirus is not Covid-19. One thing white people have in abundance are facts.,0
730,730.0,730.0,Holy communion cannot be the cause of the spread of coronavirus,"CORONAVIRUS VACCINE: LUCK OR ANSWERED PRAYER?
https://t.co/f0TFoAEotl https://t.co/f0TFoAEotl",0
1943,1943.0,1943.0,Coronavirus is caused by 5G.,"Coronavirus did not originate in Wuhan seafood market, scientists say it was in the  Dutch Hospital 2002 #coronavirus #COVID2019",0
811,811.0,811.0,Africans are more resistant to coronavirus.,"It seems elderly will be more  susceptible to fatality due to Coronavirus: Initial reports from outside China are similar, with the first 12 victims reported in Italy mostly in their 80s, and none under 60 Several had known heart problems @USERNAME https://t.co/mpTjaUV9uG",0
293,,,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",@USER USA will lose more than 10 million people to #Coronavirus By opening up early the United States is recreating January and February 2020 x 1 million .,0
669,669.0,669.0,We're very close to a vaccine.,"So, now we’re leaving it to the Taliban to “kill terrorists”. We’re also going to let the coronavirus develop a vaccine",0
337,,,The lifetime of SARS-CoV-2 is only 12 hours.,"#Brazil #Brasilia #Coronavirus The threshold of 100,000 corona deaths was exceeded in Brazil on Saturday . According to the Ministry of Health , 905 more people have died in the past 24 hours after being infected with Sars-Cov - 2 .",0
42,42.0,42.0,Fennel tea cures coronavirus.,"Today my fam went to an Elizabeth Warren rally. Tomorrow we are going to Monster Jam. 

Gonna treat the whiplash with the neck braces I picked up stockpiling for coronavirus. 

A little activism, a little diesel. Even worked in Mexican food and ice cream.

Well-rounded weekend.",0
595,,,We're very close to a vaccine.,"President Trump says in regards to the #coronavirus ,  we 've tested close to 65 million people and no one is even close .  He says we have the  number 1 testing in the world and the highest quality test .  #8NN #BeInformedVegas HTTPURL",0
45,45.0,45.0,The lifetime of SARS-CoV-2 is only 12 hours.,@USERNAME That's not technically true. The virus that causes COVID-19 is SARS-CoV-2. The name of the disease remains Novel (new) Coronavirus ( a family of viruses that includes SARS but also harmless microbes) 2019 ( year of emergence),0
164,,,Africans are more resistant to coronavirus.,First report of #coronavirus in Bhutan .,0
265,,,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",This was in #wuhan by the way . This is an incredible story and it can help save lives right now . Literally today .,0
1710,1710.0,1710.0,Africans are more resistant to coronavirus.,Children can be affected by coronavirus..... YOOO BETT https://t.co/ugFpWM7dkb,0
137,137.0,137.0,Holy communion cannot be the cause of the spread of coronavirus,Coronavirus is probably in Ghana and someone is treating it with procold tabs,0
1305,1305.0,1305.0,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"BREAKING: The #Perth man being treated in Sir Charles Gairdner Hospital for coronavirus has passed away, making him the first Australian to die from the virus. #9News
#Wuhan #China #COVID19 #Coronavirus #Pandemic #WHO @USERNAME",0
272,272.0,272.0,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Horrific similarities in the outbreak of #covid19 and the plot of the 2011 hollywood movie #contagion by Oscar winning director #stevensoderbergh

Were we warned??",0
781,,,Coronavirus can only survive in cold temperatures.,Wake me up when #coronavirus ends .,0
167,167.0,167.0,Fennel tea cures coronavirus.,"@USERNAME @USERNAME How to prevent corona virus??? Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc ?? #AdoptVedicHoliPreventCorona https://t.co/hEdtNYP77G",0
327,,,The lifetime of SARS-CoV-2 is only 12 hours.,No evidence that flu vaccines raise risk of #SARS_COV_2 or #COVID19 . HTTPURL @USER,0
131,,,Holy communion cannot be the cause of the spread of coronavirus,What if #Coronabeer could kill the #Coronavirus,0
1648,1648.0,1648.0,Africans are more resistant to coronavirus.,"The good news is that children seem to be safe from severe symptoms.
Children less vulnerable to coronavirus, say Australian experts https://t.co/QjaHdqgfLh",0
564,,,We're very close to a vaccine.,Just a query . Would n't a #coronavirus vaccine be science and not a miracle ( in the sense that Evangelical Christians like Pence use the term  miracle ) ?,0
690,690.0,690.0,Coronavirus is caused by 5G.,USD/MXN Outlook: First Two Cases of Coronavirus Confirmed in Mexico https://t.co/nl1BAa3M5i,0
1136,1136.0,1136.0,Holy communion cannot be the cause of the spread of coronavirus,"The evangelicals think these are the end days with trump as the anti christ!! This coronavirus is the plague that was promised, that’s why trump did nothing to prepare us for it! https://t.co/4ItDRjZuMz",0
1255,1255.0,1255.0,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Coronavirus Update, Map As More Than 4,000 People Infected Outside China in Over 50 Countries https://t.co/n9BvRTn93D",0
2074,2074.0,2074.0,Coronavirus is caused by 5G.,"The coronavirus has a current hospitalization rate of 20%, and a fatality rate of about 3%.

This is NOT the flu.",0
51,,,Fennel tea cures coronavirus.,@USER #coronavirus cures the FLU !,0
89,89.0,89.0,Coronavirus is caused by 5G.,Coronavirus Wipes $5 Trillion Off Global Stocks As It Spreads To New Countries https://t.co/LqMWu9FBFC,0
489,489.0,489.0,We're very close to a vaccine.,"Weird how thousands of people are dying from #coronavirus, but the second an American dies they finally decide to look into making a vaccine.",0
647,647.0,647.0,Africans are more resistant to coronavirus.,"@USERNAME Statistics show men are more at risk of dying for coronavirus. 
 https://t.co/c3XWMmIpTd",0
376,,,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,Today we reached the number of fatalities from #Covid19 in the US that POTUS has been saying of late would be the high number during this pandemic . And it 's not even May .,0
949,949.0,949.0,Coronavirus is genetically engineered.,"Corona virus vaccine is the only one that gives you autism. 

So I'll be fine.",0
1362,1362.0,1362.0,Vitamin C cures coronavirus.,"@USERNAME How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona https://t.co/8kHgFmbzie",0
587,587.0,587.0,Africans are more resistant to coronavirus.,Tucker Carlson: US is vulnerable to coronavirus because libs care more about identity politics than your life https://t.co/NQbo6c6F2X #FoxNews,0
133,,,Holy communion cannot be the cause of the spread of coronavirus,The level of cleanliness in the world right now is unprescedented . Thanks to #coronavirus,0
1056,1056.0,1056.0,Vitamin C cures coronavirus.,"Today my fam went to an Elizabeth Warren rally. Tomorrow we are going to Monster Jam. 

Gonna treat the whiplash with the neck braces I picked up stockpiling for coronavirus. 

A little activism, a little diesel. Even worked in Mexican food and ice cream.

Well-rounded weekend.",0
104,,,Holy communion cannot be the cause of the spread of coronavirus,This is a demonstration of how he would handle containing the spread of the #CoronaVirus HTTPURL,0
1433,1433.0,1433.0,Africans are more resistant to coronavirus.,"Several young doctors in China have died of the coronavirus. Medical workers are far more vulnerable to infection than the general population.
https://t.co/KKP8IqPsSI",0
674,674.0,674.0,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","@USERNAME Well 2% of Wuhan population of ten million was something like 200,000 dead. Massive quarantine is what stopped that. Trump is doing nothing so the full impact of millions being infected is about to happen",0
720,720.0,720.0,Holy communion cannot be the cause of the spread of coronavirus,The flu is nature being nature. Abortion is the savage nature of man left unabated. Abortion is man murdering man.. https://t.co/sWh3pXTENp,0
662,662.0,662.0,Coronavirus can only survive in cold temperatures.,"Fact
Its a virus
Fact coronavirus has been around for years....read the back of your spray lysol can it kills it.
Fact
Common cold and yearly flu can kill you. 
Fact yearly flu has killed between 25000&amp;85000 per yr.
Fact this is no different https://t.co/rmxZZdXg7A",0
40,,,Coronavirus is genetically engineered.,Be Safe from #coronavirus infection 2,0
512,,,Coronavirus is caused by 5G.,@USER Do people still use Google and Facebook ? ? #5G #CoronaVirus,0
1761,1761.0,1761.0,We're very close to a vaccine.,"We're currently in the flu &amp; cold season, but heading, at least in the South, into allergy season. Add Coronavirus &amp; how the heck do you know what you have without a test?",0
131,131.0,131.0,Coronavirus is caused by 5G.,"The first fatality from the novel coronavirus has been confirmed on US soil, as Trump urged Americans not to panic. https://t.co/eHXcgAfr2f",0
303,,,The lifetime of SARS-CoV-2 is only 12 hours.,A textile treatment from @USER has been proven effective against SARS-CoV - 2 in the laboratory . #coronavirus #SARSCoV2 #covid19 HTTPURL,0
1238,1238.0,1238.0,Hand sanitiser sold commercially does not destroy the coronavirus.,"#CoronaVirusUpdate: Confusion as Pharmacy sells bottle of hand sanitizer for N19950
https://t.co/jhU9drrQIs",0
767,,,Coronavirus can only survive in cold temperatures.,"The #Coronavirus really is just a bad cold , people have died from colds and flu in the past . it 's like we are just noticing that colds can kill ...",0
478,478.0,478.0,Coronavirus is genetically engineered.,"Moderna, a biotech company who recently made its way to Norwood, has just shipped its first experimental coronavirus vaccine to US Government Researchers. 

https://t.co/rXiiqHngLo https://t.co/CorgZCUsM7",0
83,83.0,83.0,Holy communion cannot be the cause of the spread of coronavirus,"A brief response to coronavirus through the lenses of biblical-theology, missiology, and pastoral ministry.
https://t.co/MI0tjWZyxa",0
972,972.0,972.0,A person can tell if they have coronavirus or not simply by holding their breath.,"Masks are meaningless for prevention virus.
One way masks could stop you getting the virus is by protecting your hand, mouth or nose touching. 
A study from N.S Wales found that people touch their faces about 23times an hour.
#過度の使用 #coronavirus 
https://t.co/2GyCaY0hFE",0
587,,,We're very close to a vaccine.,"America has more than 1/5 of the world 's cases of the #coronavirus , and cases are only going up . Something is wrong .",0
268,,,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","Breaking News For first time since coronavirus outbreak , Wuhan province in China reports ZERO new cases of #coronavirus .",0
2014,2014.0,2014.0,Avocado and mint tea cures coronavirus.,"Coronavirus Dr gave cough meds. Self treated with homeopathy, mono lauren, oregano oil, high dose vitamin C. Washed floors with hydrogen peroxide &amp; water. Sprayed everything down with rubbing alcohol. Flu is man made every year given to people in flu shot. They become carriers.",0
573,,,We're very close to a vaccine.,We 're all losing so much time . Time that we can never get back . that is today 's #COVID19 take that I can't stop thinking about .,0
1429,1429.0,1429.0,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","LIVE FROM HONG KONG: To Date in 2020, Influenza (the Flu) Accounts for More Than 50 Times the Number of Deaths as the Coronavirus in Hong Kong https://t.co/YeEeijjMDi via @USERNAME",0
1588,1588.0,1588.0,Holy communion cannot be the cause of the spread of coronavirus,"PROVERBS 4:22 THE WORD OF GOD HEALS YOU!

In His Word, God promises perfect health!

2 Corinthians 1:20 (#KJV) For all the promises of God in him are yea, and in him Amen, unto the glory of God by us.

#Jesus #God #Word #Truth #Bible #coronavirus #NYC #SaturdayThoughts #TrustGod https://t.co/Pfpny8im75",0
253,,,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",It 's being reported that China claimed political dissidents had #coronavirus WuhanFlu and burned them up in incinerators . I believe that after the #TiananmenSquare massacre .,0
754,754.0,754.0,Avocado and mint tea cures coronavirus.,"@USERNAME Both. Realistically there probably wont be shortages of anything....except panadol, toilet paper, sanitisers, pharmacueticals etc. But, on the off chance supermarkets get stripped bare as soon as there is a local outbreak, they will find comfort knowing they are covered.",0
547,,,Coronavirus is caused by 5G.,I really dont care if Ted Cruz gets the #coronavirus . I just dont care .,0
403,,,Hand sanitiser sold commercially does not destroy the coronavirus.,Please do not swallow any hand sanitizer and do not use methanol containing hand sanitizer #COVID19 #handsanitizer @USER HTTPURL,0
1787,1787.0,1787.0,Vitamin C can prevent coronavirus circulation.,"Sure, to control the spread of the coronavirus. That’s why. https://t.co/JjpbzeO5oE",0
597,,,We're very close to a vaccine.,The person that died of coronavirus was probably killed by Hillary Clinton ! #Coronavirus is a hoax !,0
2048,2048.0,2048.0,Coronavirus is genetically engineered.,Coronavirus Is Disrupting Supply Chains. These Industries Are Most Vulnerable. https://t.co/GBxhpmwfjZ,0
479,479.0,479.0,A person can tell if they have coronavirus or not simply by holding their breath.,"Suggestion How to Track Coronavirus: Using the Cell Phone you can track the Positive Patient using Gloogle Maps, on the Active Timeline, identifying where he left off, perhaps at risk areas, if the Patient does not know how to inform and authorize checking on his Cellular device. https://t.co/7AG3Fpd1X1",0
198,,,Africans are more resistant to coronavirus.,Media surrounding #Corona is doing more harm than the actual virus .,0
89,,,Fennel tea cures coronavirus.,@USER :folded_hands: :medium_skin_tone: praying a cure / vaccine for #Coronavirus #COVID19 will be made soon .,0
484,484.0,484.0,A person can tell if they have coronavirus or not simply by holding their breath.,Uber drivers out here still giving strangers rides not knowing if the person they’re picking up had the coronavirus or not..:good luck out there drivers..,0
185,,,Africans are more resistant to coronavirus.,"@USER No , rather , it appears to be a race-specific bioweapon . Early Chinese propaganda was that #coronavirus kills Asians most and Blacks are probably immune . Now we know that the exact opposite is true .",0
1421,1421.0,1421.0,We're very close to a vaccine.,"We're pretty much all going to get the coronavirus. Calm down, don't panic, get healthy. Eat good, take vitamins, stock up on prescriptions, get plenty of rest. That's it.",0
1327,1327.0,1327.0,Coronavirus is caused by 5G.,#France - There is an ongoing outbreak of coronavirus (COVID-19) in Haute Savoie and Oise. The French authorities have indicated they may cancel some large events or gatherings of more than 5000 people to limit the outbreak. More info: https://t.co/MGz66TzseT https://t.co/Ail7sNnfu2,0
122,,,Holy communion cannot be the cause of the spread of coronavirus,Reduce your risk from #coronavirus,0
33,,,Coronavirus is genetically engineered.,"If you thought #CoronaVirusUpdate is strange , this might explain it .",0
1883,1883.0,1883.0,Holy communion cannot be the cause of the spread of coronavirus,"Less heralded effect of the coronavirus: Lutherans, Anglicans/Episcopalians, and other Protestants who use a common cup in communion all become low church evangelicals. https://t.co/Ms0w6dWCiC",0
1668,1668.0,1668.0,Fennel tea cures coronavirus.,"@USERNAME Both. Realistically there probably wont be shortages of anything....except panadol, toilet paper, sanitisers, pharmacueticals etc. But, on the off chance supermarkets get stripped bare as soon as there is a local outbreak, they will find comfort knowing they are covered.",0
735,,,Vitamin C cures coronavirus.,@USER He 's the #Coronavirus Messiah .,0
117,117.0,117.0,Coronavirus is caused by 5G.,Coronavirus May Lead to 'Mass Homeschooling' https://t.co/9QipwRfPXJ https://t.co/lDelh8Dd39,0
199,,,Africans are more resistant to coronavirus.,There was no #coronavirus when Obama was president . Just food for thought ...,0
871,871.0,871.0,Coronavirus is caused by 5G.,The outbreak of coronavirus is causing postponement of matches in Italy. https://t.co/ILmTFQyFon,0
1471,1471.0,1471.0,Avocado and mint tea cures coronavirus.,"Virus prone diseases  like #Coronavirus, flu, cold are natural this time. Influx your diet with Neem, Tulsi &amp; garlic. Have equal greens if non-veg, take less caffeine, two cups daily is ok. https://t.co/8M9dnBq7Io",0
321,,,The lifetime of SARS-CoV-2 is only 12 hours.,#CoronavirusPandemic #COVID19 1st Case Study - Scientific Paper Prevalence of IgG antibodies to SARS-CoV - 2 in Wuhan - implications for the ability to produce long-lasting protective antibodies against SARS-CoV - 2 HTTPURL,0
330,330.0,330.0,Vitamin C can prevent coronavirus circulation.,"How To Cure COVID-19 - Coronavirus Disease - Eco Paint, Inc. https://t.co/RPGN1py9Wy",0
794,794.0,794.0,Africans are more resistant to coronavirus.,"Coronavirus experts say among those infected with the virus, older adults with preexisting heart conditions or hypertension face a sharply higher risk
https://t.co/XO4svS5aDt",0
1423,1423.0,1423.0,A person can tell if they have coronavirus or not simply by holding their breath.,okay everyone knows the fatality rate for coronavirus is 2% right? most people who have it get better and it’s just like a cold the people who can be served effected are those with low immune systems elder and infants,0
396,,,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,The #coronavirus #pandemic #COVID19 really shows up the #EuropeanUnion for what it is - USELESS .,0
549,,,Coronavirus is caused by 5G.,The global rollout of 5G services have been significantly pushed back as a result of the COVID - 19 crisis . #5GCoronavirus #COVID19 HTTPURL,0
424,,,Hand sanitiser sold commercially does not destroy the coronavirus.,#Coronavirus The people of the world are being lied to by governments regarding the severity and spread of this virus to save the world economy .,0
159,,,Africans are more resistant to coronavirus.,Some of yall using this #coronavirus for clout .,0
759,759.0,759.0,Holy communion cannot be the cause of the spread of coronavirus,"Least anyone have any doubts because of the lack of accurate info and the politicization of the Crisis by the UNFIT Donald Trump.

1.) The #Coronavirus will be instrumental in the destruction of Civilization as an act of God.
2.) It is HIGHLY contagious and potentially deadly https://t.co/HRMQgWkE0i",0
1236,1236.0,1236.0,Coronavirus is genetically engineered.,"@USERNAME You idiot, the name Coronavirus is a generic name..like when you buy a car they're not all the same car.  This particular type is Covid-19 and is new.",0
1742,1742.0,1742.0,Holy communion cannot be the cause of the spread of coronavirus,"Corona Virus is a killing virus I know.But let's say God has a timing for everyone's https://t.co/vNFpnZ6WQp weither dead because of Corona or not..Corona is the reason yes,but it's your timing.",0
